Angstroms	Transmission
      5145.10     0.029632858
      5145.50     0.025668680
      5145.89     0.026084224
      5146.29     0.026954178
      5146.68     0.025434937
      5147.08     0.026131875
      5147.48     0.025625565
      5147.87     0.024499552
      5148.27     0.023878509
      5148.66     0.025812906
      5149.06     0.024660543
      5149.46     0.024686442
      5149.85     0.025515309
      5150.25     0.024001574
      5150.64     0.024050885
      5151.04     0.025352668
      5151.43     0.025078989
      5151.83     0.025551800
      5152.23     0.026419949
      5152.62     0.025256975
      5153.02     0.026207303
      5153.41     0.024601456
      5153.81     0.024704724
      5154.21     0.025646065
      5154.60     0.024480640
      5155.00     0.026139994
      5155.39     0.023280629
      5155.79     0.025696141
      5156.19     0.024236549
      5156.58     0.024375918
      5156.98     0.023480530
      5157.37     0.023093139
      5157.77     0.024452021
      5158.17     0.024437175
      5158.56     0.023468308
      5158.96     0.023841569
      5159.35     0.025238416
      5159.75     0.023743418
      5160.15     0.025350233
      5160.54     0.023557463
      5160.94     0.024772836
      5161.33     0.022836652
      5161.73     0.023416108
      5162.12     0.025162648
      5162.52     0.024844134
      5162.92     0.023852343
      5163.31     0.023438238
      5163.71     0.025078073
      5164.10     0.024066936
      5164.50     0.024089583
      5164.90     0.024521871
      5165.29     0.024557772
      5165.69     0.025053955
      5166.08     0.024924755
      5166.48     0.022714630
      5166.88     0.024622790
      5167.27     0.023690542
      5167.67     0.023849295
      5168.06     0.024192059
      5168.46     0.024719721
      5168.86     0.023551058
      5169.25     0.025055679
      5169.65     0.024334040
      5170.04     0.024817788
      5170.44     0.023844461
      5170.83     0.023844732
      5171.23     0.026279645
      5171.63     0.024253043
      5172.02     0.025248802
      5172.42     0.025551790
      5172.81     0.025339699
      5173.21     0.026521779
      5173.61     0.026390543
      5174.00     0.025002290
      5174.40     0.024528647
      5174.79     0.026265564
      5175.19     0.026171303
      5175.59     0.026915683
      5175.98     0.027337739
      5176.38     0.025029580
      5176.77     0.028057750
      5177.17     0.025785877
      5177.57     0.026466576
      5177.96     0.027495463
      5178.36     0.027458088
      5178.75     0.028666727
      5179.15     0.028443248
      5179.55     0.026995305
      5179.94     0.026978578
      5180.34     0.028145996
      5180.73     0.028076194
      5181.13     0.030452225
      5181.53     0.029811996
      5181.92     0.029043384
      5182.32     0.029324724
      5182.71     0.029247660
      5183.11     0.031275496
      5183.50     0.030964422
      5183.90     0.031277611
      5184.30     0.032913669
      5184.69     0.032212137
      5185.09     0.032663989
      5185.48     0.034808419
      5185.88     0.036167341
      5186.28     0.037518804
      5186.67     0.038714917
      5187.07     0.040816327
      5187.46     0.044126842
      5187.86     0.045836312
      5188.26     0.052048236
      5188.65     0.055297481
      5189.05     0.061482661
      5189.44     0.069959213
      5189.84     0.077827894
      5190.24     0.092902430
      5190.63      0.10583363
      5191.03      0.12850838
      5191.42      0.15593579
      5191.82      0.18513094
      5192.22      0.22892729
      5192.61      0.27503724
      5193.01      0.32976222
      5193.40      0.39685163
      5193.80      0.45739754
      5194.19      0.52449140
      5194.59      0.59684349
      5194.99      0.64137991
      5195.38      0.67793378
      5195.78      0.71694842
      5196.17      0.72475076
      5196.57      0.74109078
      5196.97      0.73655029
      5197.36      0.74510992
      5197.76      0.74967642
      5198.15      0.75411398
      5198.55      0.75239245
      5198.95      0.74825836
      5199.34      0.75663678
      5199.74      0.75498526
      5200.13      0.75871012
      5200.53      0.75966517
      5200.93      0.76064432
      5201.32      0.75892935
      5201.72      0.75496803
      5202.11      0.74883601
      5202.51      0.74500000
      5202.91      0.73748925
      5203.30      0.74369894
      5203.70      0.72884715
      5204.09      0.72789406
      5204.49      0.72843561
      5204.89      0.72891515
      5205.28      0.73871162
      5205.68      0.72652122
      5206.07      0.73939083
      5206.47      0.73910076
      5206.86      0.72157792
      5207.26      0.70969928
      5207.66      0.68174119
      5208.05      0.64306140
      5208.45      0.59204316
      5208.84      0.53302961
      5209.24      0.46416787
      5209.64      0.39396985
      5210.03      0.32992689
      5210.43      0.26942962
      5210.82      0.21971407
      5211.22      0.18144554
      5211.62      0.14807387
      5212.01      0.12511469
      5212.41      0.10345115
      5212.80     0.087485419
      5213.20     0.073843342
      5213.60     0.062821577
      5213.99     0.057152351
      5214.39     0.051675279
      5214.78     0.047157302
      5215.18     0.043259308
      5215.58     0.040907585
      5215.97     0.038397881
      5216.37     0.037018551
      5216.76     0.035540127
      5217.16     0.032967033
      5217.55     0.032066116
      5217.95     0.030767955
      5218.35     0.029615005
      5218.74     0.030445934
      5219.14     0.028844569
      5219.53     0.029101189
      5219.93     0.027695351
      5220.33     0.027650524
      5220.72     0.027334479
      5221.12     0.028662161
      5221.51     0.027745949
      5221.91     0.026693712
      5222.31     0.026096118
      5222.70     0.026603057
      5223.10     0.027101815
      5223.49     0.026028278
      5223.89     0.027055068
      5224.29     0.026182636
      5224.68     0.025814779
      5225.08     0.025887633
      5225.47     0.026091158
      5225.87     0.026696507
      5226.27     0.026078635
      5226.66     0.025469062
      5227.06     0.025976096
      5227.45     0.025525405
      5227.85     0.025864133
      5228.25     0.026629348
      5228.64     0.025850996
      5229.04     0.026030022
      5229.43     0.024847186
      5229.83     0.025150269
      5230.22     0.024743754
      5230.62     0.025773600
      5231.02     0.024547600
      5231.41     0.025838979
      5231.81     0.024926802
      5232.20     0.025535939
      5232.60     0.024352048
      5233.00     0.024064171
      5233.39     0.024370882
      5233.79     0.025393082
      5234.18     0.025096373
      5234.58     0.025165146
      5234.98     0.025147812
      5235.37     0.026888503
      5235.77     0.025392795
      5236.16     0.024384488
      5236.56     0.024872098
      5236.96     0.024913002
      5237.35     0.025313498
      5237.75     0.025395570
      5238.14     0.024374951
      5238.54     0.024543245
      5238.94     0.024351925
      5239.33     0.025562613
