Angstroms	Transmission
      5688.33     0.014779150
      5688.72     0.013264249
      5689.11     0.015925789
      5689.50     0.016767545
      5689.90     0.015787526
      5690.29     0.013630168
      5690.68     0.014198699
      5691.07     0.012517956
      5691.46     0.022594484
      5691.86     0.013997462
      5692.25     0.024114452
      5692.64     0.013546143
      5693.03     0.015048940
      5693.43     0.015573268
      5693.82     0.014167173
      5694.21     0.014310617
      5694.60     0.014960375
      5694.99     0.015672458
      5695.39     0.014660619
      5695.78     0.014249960
      5696.17     0.014763422
      5696.56     0.016129683
      5696.95     0.014697569
      5697.35     0.015353698
      5697.74     0.015420731
      5698.13     0.014205350
      5698.52     0.014912740
      5698.92     0.016618702
      5699.31     0.015168018
      5699.70     0.015957017
      5700.09     0.016308978
      5700.48     0.015954232
      5700.88     0.017536787
      5701.27     0.016952565
      5701.66     0.015770057
      5702.05     0.016023955
      5702.44     0.017169995
      5702.84     0.017633165
      5703.23     0.017441156
      5703.62     0.016689511
      5704.01     0.019366552
      5704.40     0.016397415
      5704.80     0.017689108
      5705.19     0.018178867
      5705.58     0.017933597
      5705.97     0.019568287
      5706.37     0.019677053
      5706.76     0.019907370
      5707.15     0.020487647
      5707.54     0.019962596
      5707.93     0.021151490
      5708.33     0.019964436
      5708.72     0.021512333
      5709.11     0.022172679
      5709.50     0.023768069
      5709.89     0.021083609
      5710.29     0.022158308
      5710.68     0.022551833
      5711.07     0.024130417
      5711.46     0.022565800
      5711.86     0.022875420
      5712.25     0.024540624
      5712.64     0.023254870
      5713.03     0.025914265
      5713.42     0.023901966
      5713.82     0.031493520
      5714.21     0.026998626
      5714.60     0.029519552
      5714.99     0.028534580
      5715.38     0.026862769
      5715.78     0.027307615
      5716.17     0.028302649
      5716.56     0.030197820
      5716.95     0.029385574
      5717.35     0.029971321
      5717.74     0.030441647
      5718.13     0.030389862
      5718.52     0.031327054
      5718.91     0.031821669
      5719.31     0.031697838
      5719.70     0.032932567
      5720.09     0.033180317
      5720.48     0.033860136
      5720.87     0.033346758
      5721.27     0.033877749
      5721.66     0.035702759
      5722.05     0.037058014
      5722.44     0.037939942
      5722.83     0.037606357
      5723.23     0.037224431
      5723.62     0.037538809
      5724.01     0.040393057
      5724.40     0.041825860
      5724.80     0.041811986
      5725.19     0.043020687
      5725.58     0.044398659
      5725.97     0.045392189
      5726.36     0.046537888
      5726.76     0.048300824
      5727.15     0.049577805
      5727.54     0.050976139
      5727.93     0.054169178
      5728.32     0.054043138
      5728.72     0.055912415
      5729.11     0.058543036
      5729.50     0.064588870
      5729.89     0.062061739
      5730.29     0.064456276
      5730.68     0.067009059
      5731.07     0.073320491
      5731.46     0.076264372
      5731.85     0.080170473
      5732.25     0.081075625
      5732.64     0.086729572
      5733.03     0.094797641
      5733.42     0.098023397
      5733.81      0.10336199
      5734.21      0.10965941
      5734.60      0.11634472
      5734.99      0.12240269
      5735.38      0.13252817
      5735.77      0.13661025
      5736.17      0.14981304
      5736.56      0.16089381
      5736.95      0.16902666
      5737.34      0.18385523
      5737.74      0.19358907
      5738.13      0.20955146
      5738.52      0.22517420
      5738.91      0.24045290
      5739.30      0.25966091
      5739.70      0.27568750
      5740.09      0.29852020
      5740.48      0.31784515
      5740.87      0.34008542
      5741.26      0.36847235
      5741.66      0.38871728
      5742.05      0.41121153
      5742.44      0.44481101
      5742.83      0.46427275
      5743.23      0.49308532
      5743.62      0.52049329
      5744.01      0.54575775
      5744.40      0.57519990
      5744.79      0.59442976
      5745.19      0.61887573
      5745.58      0.63599398
      5745.97      0.64900338
      5746.36      0.66495033
      5746.75      0.67566037
      5747.15      0.69005231
      5747.54      0.69534487
      5747.93      0.70390228
      5748.32      0.70445870
      5748.72      0.70787427
      5749.11      0.71087868
      5749.50      0.70822454
      5749.89      0.70284301
      5750.28      0.69987785
      5750.68      0.68921681
      5751.07      0.68784429
      5751.46      0.68975126
      5751.85      0.67874781
      5752.24      0.66678914
      5752.64      0.66213887
      5753.03      0.65129113
      5753.42      0.64255962
      5753.81      0.63502871
      5754.21      0.62411813
      5754.60      0.61560551
      5754.99      0.60806027
      5755.38      0.60000000
      5755.77      0.58468982
      5756.17      0.58089088
      5756.56      0.57094286
      5756.95      0.55846791
      5757.34      0.54471646
      5757.73      0.53573354
      5758.13      0.52153523
      5758.52      0.50609481
      5758.91      0.49217615
      5759.30      0.47390604
      5759.69      0.46721278
      5760.09      0.44109047
      5760.48      0.43255987
      5760.87      0.41319990
      5761.26      0.39420001
      5761.66      0.37720793
      5762.05      0.36024151
      5762.44      0.34306781
      5762.83      0.32929570
      5763.22      0.30988609
      5763.62      0.28931702
      5764.01      0.27821555
      5764.40      0.26262542
      5764.79      0.24759084
      5765.18      0.23006378
      5765.58      0.21978437
      5765.97      0.20729762
      5766.36      0.19317036
      5766.75      0.18200143
      5767.15      0.16955498
      5767.54      0.16191201
      5767.93      0.15487256
      5768.32      0.14218507
      5768.71      0.13394812
      5769.11      0.12400287
      5769.50      0.11811753
      5769.89      0.11214717
      5770.28      0.10502302
      5770.67      0.10007187
      5771.07     0.094478163
      5771.46     0.088870995
      5771.85     0.083252170
      5772.24     0.081023726
      5772.64     0.075336898
      5773.03     0.070545610
      5773.42     0.067014685
      5773.81     0.065514143
      5774.20     0.061950697
      5774.60     0.058836087
      5774.99     0.056874466
      5775.38     0.052480261
      5775.77     0.052550232
      5776.16     0.051052072
      5776.56     0.049328701
      5776.95     0.043577586
      5777.34     0.043708781
      5777.73     0.042235971
      5778.12     0.039960427
      5778.52     0.040357588
      5778.91     0.036070673
      5779.30     0.038670695
      5779.69     0.036656004
      5780.09     0.034463423
      5780.48     0.034645533
      5780.87     0.031767241
      5781.26     0.030914962
      5781.65     0.029628671
      5782.05     0.029734298
      5782.44     0.039595438
      5782.83     0.028870020
      5783.22     0.027093059
      5783.61     0.027203482
      5784.01     0.025579467
      5784.40     0.025293862
