Angstroms	Transmission
      6526.50     0.014779150
      6526.88     0.013264249
      6527.27     0.015925789
      6527.65     0.016767545
      6528.04     0.015787526
      6528.42     0.013630168
      6528.81     0.014198699
      6529.19     0.012517956
      6529.58     0.022594484
      6529.96     0.013997462
      6530.35     0.024114452
      6530.73     0.013546143
      6531.12     0.015048940
      6531.50     0.015573268
      6531.89     0.014167173
      6532.27     0.014310617
      6532.66     0.014960375
      6533.04     0.015672458
      6533.43     0.014660619
      6533.81     0.014249960
      6534.20     0.014763422
      6534.58     0.016129683
      6534.97     0.014697569
      6535.35     0.015353698
      6535.74     0.015420731
      6536.12     0.014205350
      6536.51     0.014912740
      6536.89     0.016618702
      6537.28     0.015168018
      6537.66     0.015957017
      6538.05     0.016308978
      6538.43     0.015954232
      6538.82     0.017536787
      6539.20     0.016952565
      6539.59     0.015770057
      6539.97     0.016023955
      6540.36     0.017169995
      6540.74     0.017633165
      6541.13     0.017441156
      6541.51     0.016689511
      6541.90     0.019366552
      6542.28     0.016397415
      6542.67     0.017689108
      6543.05     0.018178867
      6543.44     0.017933597
      6543.82     0.019568287
      6544.21     0.019677053
      6544.59     0.019907370
      6544.98     0.020487647
      6545.36     0.019962596
      6545.75     0.021151490
      6546.13     0.019964436
      6546.51     0.021512333
      6546.90     0.022172679
      6547.28     0.023768069
      6547.67     0.021083609
      6548.05     0.022158308
      6548.44     0.022551833
      6548.82     0.024130417
      6549.21     0.022565800
      6549.59     0.022875420
      6549.98     0.024540624
      6550.36     0.023254870
      6550.75     0.025914265
      6551.13     0.023901966
      6551.52     0.031493520
      6551.90     0.026998626
      6552.29     0.029519552
      6552.67     0.028534580
      6553.06     0.026862769
      6553.44     0.027307615
      6553.83     0.028302649
      6554.21     0.030197820
      6554.60     0.029385574
      6554.98     0.029971321
      6555.37     0.030441647
      6555.75     0.030389862
      6556.14     0.031327054
      6556.52     0.031821669
      6556.91     0.031697838
      6557.29     0.032932567
      6557.68     0.033180317
      6558.06     0.033860136
      6558.45     0.033346758
      6558.83     0.033877749
      6559.22     0.035702759
      6559.60     0.037058014
      6559.99     0.037939942
      6560.37     0.037606357
      6560.76     0.037224431
      6561.14     0.037538809
      6561.53     0.040393057
      6561.91     0.041825860
      6562.30     0.041811986
      6562.68     0.043020687
      6563.07     0.044398659
      6563.45     0.045392189
      6563.84     0.046537888
      6564.22     0.048300824
      6564.61     0.049577805
      6564.99     0.050976139
      6565.38     0.054169178
      6565.76     0.054043138
      6566.15     0.055912415
      6566.53     0.058543036
      6566.92     0.064588870
      6567.30     0.062061739
      6567.69     0.064456276
      6568.07     0.067009059
      6568.46     0.073320491
      6568.84     0.076264372
      6569.23     0.080170473
      6569.61     0.081075625
      6570.00     0.086729572
      6570.38     0.094797641
      6570.76     0.098023397
      6571.15      0.10336199
      6571.53      0.10965941
      6571.92      0.11634472
      6572.30      0.12240269
      6572.69      0.13252817
      6573.07      0.13661025
      6573.46      0.14981304
      6573.84      0.16089381
      6574.23      0.16902666
      6574.61      0.18385523
      6575.00      0.19358907
      6575.38      0.20955146
      6575.77      0.22517420
      6576.15      0.24045290
      6576.54      0.25966091
      6576.92      0.27568750
      6577.31      0.29852020
      6577.69      0.31784515
      6578.08      0.34008542
      6578.46      0.36847235
      6578.85      0.38871728
      6579.23      0.41121153
      6579.62      0.44481101
      6580.00      0.46427275
      6580.39      0.49308532
      6580.77      0.52049329
      6581.16      0.54575775
      6581.54      0.57519990
      6581.93      0.59442976
      6582.31      0.61887573
      6582.70      0.63599398
      6583.08      0.64900338
      6583.47      0.66495033
      6583.85      0.67566037
      6584.24      0.69005231
      6584.62      0.69534487
      6585.01      0.70390228
      6585.39      0.70445870
      6585.78      0.70787427
