Angstroms	Transmission
      5802.58     0.024310206
      5802.98     0.022556890
      5803.37     0.025895498
      5803.76     0.026709887
      5804.15     0.024668055
      5804.55     0.023452342
      5804.94     0.023704090
      5805.33     0.021909745
      5805.72     0.035778752
      5806.12     0.023221023
      5806.51     0.038965167
      5806.90     0.022733177
      5807.29     0.024620355
      5807.69     0.025465798
      5808.08     0.023833997
      5808.47     0.024501902
      5808.86     0.024352730
      5809.26     0.026141290
      5809.65     0.023585514
      5810.04     0.023074962
      5810.43     0.024334016
      5810.83     0.025854402
      5811.22     0.023051105
      5811.61     0.024259271
      5812.00     0.023373984
      5812.40     0.022682257
      5812.79     0.023001725
      5813.18     0.024385597
      5813.57     0.023937686
      5813.96     0.025207950
      5814.36     0.023968043
      5814.75     0.023877383
      5815.14     0.026335733
      5815.53     0.023740371
      5815.93     0.022672578
      5816.32     0.022683950
      5816.71     0.022491130
      5817.10     0.024555838
      5817.50     0.024996852
      5817.89     0.023291043
      5818.28     0.024971695
      5818.67     0.021295307
      5819.07     0.022567703
      5819.46     0.022174760
      5819.85     0.021378571
      5820.24     0.023853211
      5820.64     0.022806580
      5821.03     0.024003024
      5821.42     0.023436035
      5821.81     0.021312712
      5822.21     0.023010185
      5822.60     0.021361899
      5822.99     0.022896001
      5823.38     0.022383394
      5823.78     0.026017677
      5824.17     0.019985196
      5824.56     0.020427286
      5824.95     0.020634624
      5825.35     0.023741983
      5825.74     0.020352445
      5826.13     0.019684794
      5826.52     0.021132451
      5826.92     0.019485775
      5827.31     0.022568478
      5827.70     0.018674136
      5828.09     0.029223576
      5828.48     0.021779141
      5828.88     0.026870811
      5829.27     0.022482893
      5829.66     0.017563320
      5830.05     0.019641754
      5830.45     0.019878520
      5830.84     0.021525819
      5831.23     0.018964036
      5831.62     0.018488943
      5832.02     0.019844214
      5832.41     0.018719696
      5832.80     0.019088406
      5833.19     0.019211943
      5833.59     0.018328310
      5833.98     0.018669278
      5834.37     0.018357606
      5834.76     0.018569254
      5835.16     0.018077789
      5835.55     0.016832579
      5835.94     0.019115238
      5836.33     0.020596634
      5836.73     0.019703543
      5837.12     0.018867925
      5837.51     0.015765630
      5837.90     0.016166003
      5838.30     0.018501668
      5838.69     0.019574571
      5839.08     0.018826201
      5839.47     0.017886179
      5839.87     0.019681236
      5840.26     0.018462286
      5840.65     0.017066890
      5841.04     0.018367470
      5841.43     0.017731562
      5841.83     0.019131582
      5842.22     0.018058147
      5842.61     0.017578594
      5843.00     0.017568220
      5843.40     0.018364040
      5843.79     0.021685883
      5844.18     0.017284689
      5844.57     0.016429681
      5844.97     0.016174614
      5845.36     0.020336145
      5845.75     0.019390911
      5846.14     0.020972355
      5846.54     0.016575244
      5846.93     0.015890766
      5847.32     0.022075055
      5847.71     0.019163245
      5848.11     0.018472321
      5848.50     0.018685412
      5848.89     0.019231914
      5849.28     0.017981958
      5849.68     0.019248012
      5850.07     0.017713366
      5850.46     0.018827455
      5850.85     0.021401948
      5851.25     0.016970572
      5851.64     0.016624655
      5852.03     0.018423563
      5852.42     0.020148588
      5852.81     0.018945487
      5853.21     0.018758506
      5853.60     0.021393860
      5853.99     0.019540502
      5854.38     0.019488212
      5854.78     0.022651999
      5855.17     0.019975179
      5855.56     0.022133034
      5855.95     0.022913837
      5856.35     0.018163590
      5856.74     0.020142180
      5857.13     0.019256737
      5857.52     0.024097788
      5857.92     0.020806621
      5858.31     0.022928821
      5858.70     0.037364287
      5859.09     0.023287110
      5859.49     0.023644684
      5859.88     0.023022087
      5860.27     0.021721263
      5860.66     0.023069735
      5861.06     0.023730395
      5861.45     0.024317705
      5861.84     0.023185542
      5862.23     0.023939253
      5862.63     0.023403020
      5863.02     0.025911211
      5863.41     0.026877332
      5863.80     0.025796749
      5864.20     0.025060352
      5864.59     0.026365892
      5864.98     0.026544569
      5865.37     0.027745259
      5865.77     0.027445747
      5866.16     0.029367470
      5866.55     0.028943392
      5866.94     0.028188701
      5867.33     0.029887055
      5867.73     0.033646909
      5868.12     0.032809532
      5868.51     0.030215160
      5868.90     0.032698652
      5869.30     0.032621247
      5869.69     0.031829777
      5870.08     0.034104680
      5870.47     0.033051142
      5870.87     0.034327485
      5871.26     0.034592838
      5871.65     0.033672173
      5872.04     0.038450386
      5872.44     0.036985748
      5872.83     0.035859774
      5873.22     0.038158273
      5873.61     0.039648336
      5874.01     0.052219321
      5874.40     0.042714870
      5874.79     0.043245730
      5875.18     0.047093958
      5875.58     0.047408598
      5875.97     0.046743516
      5876.36     0.052550143
      5876.75     0.053225806
      5877.15     0.056127437
      5877.54     0.060666250
      5877.93     0.064120211
      5878.32     0.072167880
      5878.72     0.075438397
      5879.11     0.080985514
      5879.50     0.090447965
      5879.89     0.098686098
      5880.29      0.11232173
      5880.68      0.12524885
      5881.07      0.13979971
      5881.46      0.16258352
      5881.85      0.18616230
      5882.25      0.21667040
      5882.64      0.23657995
      5883.03      0.27394209
      5883.42      0.30998459
      5883.82      0.34724031
      5884.21      0.38629779
      5884.60      0.42692790
      5884.99      0.46332727
      5885.39      0.50127732
      5885.78      0.54085960
      5886.17      0.57386170
      5886.56      0.59229117
      5886.96      0.62718247
      5887.35      0.63819551
      5887.74      0.64984424
      5888.13      0.66568199
      5888.53      0.67803159
      5888.92      0.68235294
