Angstroms	Transmission
      7266.51     0.014406613
      7266.88     0.013517701
      7267.26     0.016427660
      7267.64     0.016653787
      7268.01     0.015354270
      7268.39     0.013801369
      7268.77     0.014732039
      7269.14     0.013214162
      7269.52     0.021656927
      7269.90     0.013911714
      7270.27     0.023719779
      7270.65     0.013668211
      7271.03     0.015041889
      7271.40     0.015871199
      7271.78     0.015129518
      7272.15     0.014856926
      7272.53     0.015047308
      7272.91     0.016100858
      7273.28     0.014584199
      7273.66     0.014787989
      7274.04     0.015554800
      7274.41     0.015904197
      7274.79     0.014628215
      7275.17     0.016045824
      7275.54     0.015777753
      7275.92     0.014342719
      7276.30     0.015132075
      7276.67     0.016598291
      7277.05     0.015615029
      7277.43     0.015848459
      7277.80     0.016154541
      7278.18     0.016247988
      7278.55     0.017307548
      7278.93     0.016713923
      7279.31     0.015568143
      7279.68     0.015578663
      7280.06     0.016366920
      7280.44     0.017333483
      7280.81     0.017378575
      7281.19     0.016778274
      7281.57     0.018353435
      7281.94     0.016694553
      7282.32     0.017526196
      7282.70     0.018134328
      7283.07     0.017805492
      7283.45     0.018873510
      7283.83     0.018979968
      7284.20     0.019653825
      7284.58     0.020532659
      7284.95     0.018749533
      7285.33     0.020276326
      7285.71     0.019955654
      7286.08     0.021606423
      7286.46     0.021175598
      7286.84     0.022789798
      7287.21     0.020325961
      7287.59     0.020666840
      7287.97     0.021234019
      7288.34     0.023630824
      7288.72     0.022140632
      7289.10     0.022004075
      7289.47     0.023294633
      7289.85     0.022549420
      7290.23     0.026220145
      7290.60     0.022874247
      7290.98     0.030297439
      7291.35     0.026572449
      7291.73     0.029689509
      7292.11     0.028163340
      7292.48     0.025523753
      7292.86     0.026463160
      7293.24     0.028042563
      7293.61     0.028633151
      7293.99     0.028121898
      7294.37     0.029135131
      7294.74     0.029512294
      7295.12     0.029974747
      7295.50     0.031494061
      7295.87     0.030969905
      7296.25     0.030895609
      7296.62     0.032512603
      7297.00     0.033567810
      7297.38     0.034060342
      7297.75     0.034712804
      7298.13     0.034461449
      7298.51     0.036984405
      7298.88     0.037494985
      7299.26     0.038426681
      7299.64     0.039411206
      7300.01     0.038027656
      7300.39     0.038615083
      7300.77     0.041663648
      7301.14     0.042984620
      7301.52     0.042884636
      7301.90     0.045075428
      7302.27     0.047205643
      7302.65     0.046588475
      7303.02     0.048066419
      7303.40     0.049238837
      7303.78     0.050665116
      7304.15     0.053894829
      7304.53     0.053778597
      7304.91     0.056424520
      7305.28     0.058482517
      7305.66     0.060587337
      7306.04     0.066194626
      7306.41     0.065462182
      7306.79     0.068331334
      7307.17     0.069693770
      7307.54     0.075490196
      7307.92     0.079753266
