PhotoObjAll
Contains ~585,634,220 rows (~1,818,044,192 kB)

Notes

ConeSearchClient	 	 1/1/2001 12:00:00 AM
PhotoObjAll

Contains a record describing the attributes of each photometric object
The table has views:

PhotoObj: all primary and secondary objects; essentially this is the view you should use unless you want a specific type of object.
PhotoPrimary: all photo objects that are primary (the best version of the object).
Star: Primary objects that are classified as stars.
Galaxy: Primary objects that are classified as galaxies.
Sky:Primary objects which are sky samples.
Unknown:Primary objects which are no0ne of the above
PhotoSecondary: all photo objects that are secondary (secondary detections)
PhotoFamily: all photo objects which are neither primary nor secondary (blended)
The table has indices that cover the popular columns.

name	unit	ucd	enum	description
objID		ID_MAIN		Unique SDSS identifier composed from [skyVersion,rerun,run,camcol,field,obj].
skyVersion		CODE_MISC		0 = OPDB target, 1 = OPDB best
run		OBS_RUN		Run number
rerun		CODE_MISC		Rerun number
camcol		INST_ID		Camera column
field		ID_FIELD		Field number
obj		ID_NUMBER		The object id within a field. Usually changes between reruns of the same field.
mode		CLASS_OBJECT		1: primary, 2: secondary, 3: family object, 4: outside chunk boundary.
nChild		NUMBER		Number of children if this is a composite object that has been deblended. BRIGHT (in a flags sense) objects also have nchild == 1, the non-BRIGHT sibling.
type		CLASS_OBJECT	PhotoType	Morphological type classification of the object.
clean		CODE_MISC		Clean photometry flag for point sources (1=clean, 0=unclean).
probPSF		STAT_PROBABILITY		Probability that the object is a star. Currently 0 if type == 3 (galaxy), 1 if type == 6 (star).
insideMask		CODE_MISC	InsideMask	Flag to indicate whether object is inside a mask and why
flags		CODE_MISC	PhotoFlags	Photo Object Attribute Flags
rowc	pix	POS_CCD_Y		Row center position (r' coordinates)
rowcErr	pix	POS_CCD_Y ERROR		Row center position error (r' coordinates)
colc	pix	POS_CCD_X		Column center position (r' coordinates)
colcErr	pix	POS_CCD_X ERROR		Column center position error (r' coordinates)
rowv	deg/day	POS_ANG_VEL		Row-component of object's velocity.
rowvErr	deg/day	POS_ANG_VEL ERROR		Row-component of object's velocity error
colv	deg/day	POS_ANG_VEL		Column-component of object's velocity.
colvErr	deg/day	POS_ANG_VEL ERROR		Column-component of object's velocity error
rowc_u	pix	POS_CCD_Y		Row center
rowc_g	pix	POS_CCD_Y		Row center
rowc_r	pix	POS_CCD_Y		Row center
rowc_i	pix	POS_CCD_Y		Row center
rowc_z	pix	POS_CCD_Y		Row center
rowcErr_u	pix	POS_CCD_Y ERROR		Row center error
rowcErr_g	pix	POS_CCD_Y ERROR		Row center error
rowcErr_r	pix	POS_CCD_Y ERROR		Row center error
rowcErr_i	pix	POS_CCD_Y ERROR		Row center error
rowcErr_z	pix	POS_CCD_Y ERROR		Row center error
colc_u	pix	POS_CCD_X		Column center
colc_g	pix	POS_CCD_X		Column center
colc_r	pix	POS_CCD_X		Column center
colc_i	pix	POS_CCD_X		Column center
colc_z	pix	POS_CCD_X		Column center
colcErr_u	pix	POS_CCD_X ERROR		Column center error
colcErr_g	pix	POS_CCD_X ERROR		Column center error
colcErr_r	pix	POS_CCD_X ERROR		Column center error
colcErr_i	pix	POS_CCD_X ERROR		Column center error
colcErr_z	pix	POS_CCD_X ERROR		Column center error
sky_u	maggies/arcsec^2	INST_SKY_LEVEL		Sky flux at the center of object (allowing for siblings if blended).
sky_g	maggies/arcsec^2	INST_SKY_LEVEL		Sky flux at the center of object (allowing for siblings if blended).
sky_r	maggies/arcsec^2	INST_SKY_LEVEL		Sky flux at the center of object (allowing for siblings if blended).
sky_i	maggies/arcsec^2	INST_SKY_LEVEL		Sky flux at the center of object (allowing for siblings if blended).
sky_z	maggies/arcsec^2	INST_SKY_LEVEL		Sky flux at the center of object (allowing for siblings if blended).
skyErr_u	maggies/arcsec^2	INST_SKY_LEVEL ERROR		Sky flux error
skyErr_g	maggies/arcsec^2	INST_SKY_LEVEL ERROR		Sky flux error
skyErr_r	maggies/arcsec^2	INST_SKY_LEVEL ERROR		Sky flux error
skyErr_i	maggies/arcsec^2	INST_SKY_LEVEL ERROR		Sky flux error
skyErr_z	maggies/arcsec^2	INST_SKY_LEVEL ERROR		Sky flux error
psfMag_u	mag	PHOT_SDSS_U		PSF flux
psfMag_g	mag	PHOT_SDSS_G		PSF flux
psfMag_r	mag	PHOT_SDSS_R		PSF flux
psfMag_i	mag	PHOT_SDSS_I		PSF flux
psfMag_z	mag	PHOT_SDSS_Z		PSF flux
psfMagErr_u	mag	PHOT_SDSS_U ERROR		PSF flux error
psfMagErr_g	mag	PHOT_SDSS_G ERROR		PSF flux error
