Angstroms	Transmission
      6296.67     0.014231070
      6297.05     0.012706939
      6297.44     0.015057113
      6297.82     0.015407278
      6298.21     0.014714114
      6298.59     0.012814390
      6298.98     0.013807180
      6299.36     0.011893834
      6299.75     0.020321361
      6300.13     0.013430772
      6300.52     0.023167534
      6300.90     0.012979351
      6301.29     0.014594787
      6301.67     0.014664832
      6302.06     0.013708315
      6302.44     0.013956048
      6302.83     0.014429504
      6303.21     0.015045843
      6303.60     0.013878090
      6303.98     0.013512458
      6304.37     0.014102113
      6304.75     0.015271648
      6305.14     0.013789880
      6305.52     0.014826890
      6305.91     0.014522095
      6306.29     0.013499360
      6306.68     0.014124736
      6307.06     0.014742204
      6307.45     0.014034816
      6307.83     0.014418605
      6308.21     0.015000390
      6308.60     0.014288473
      6308.98     0.015909883
      6309.37     0.014290680
      6309.75     0.013507744
      6310.14     0.013878121
      6310.52     0.013761468
      6310.91     0.015224887
      6311.29     0.015314233
      6311.68     0.014417285
      6312.06     0.015612320
      6312.45     0.014137134
      6312.83     0.015147427
      6313.22     0.014503375
      6313.60     0.014146738
      6313.99     0.015794975
      6314.37     0.014810496
      6314.76     0.015431859
      6315.14     0.015133922
      6315.53     0.014457174
      6315.91     0.015089216
      6316.30     0.014101422
      6316.68     0.015168518
      6317.07     0.015728861
      6317.45     0.017241379
      6317.84     0.013776463
      6318.22     0.013406696
      6318.61     0.013973833
      6318.99     0.015562991
      6319.38     0.013856189
      6319.76     0.013048865
      6320.15     0.013968106
      6320.53     0.013359589
      6320.92     0.014951254
      6321.30     0.012959381
      6321.69     0.019219636
      6322.07     0.014845377
      6322.46     0.016761068
      6322.84     0.015472092
      6323.23     0.012316034
      6323.61     0.013108035
      6324.00     0.013298284
      6324.38     0.014274109
      6324.77     0.013386313
      6325.15     0.012477305
      6325.54     0.013560367
      6325.92     0.013121334
      6326.31     0.013727683
      6326.69     0.012739589
      6327.08     0.012485549
      6327.46     0.013512996
      6327.85     0.012824943
      6328.23     0.012185716
      6328.62     0.012737378
      6329.00     0.012038399
      6329.39     0.012898009
      6329.77     0.013365082
      6330.15     0.013189448
      6330.54     0.012713166
      6330.92     0.010918285
      6331.31     0.011018966
      6331.69     0.012964032
      6332.08     0.012678227
      6332.46     0.011991335
      6332.85     0.012245841
      6333.23     0.013109049
      6333.62     0.012852181
      6334.00     0.012174384
      6334.39     0.012579826
      6334.77     0.011518689
      6335.16     0.012900749
      6335.54     0.012050950
      6335.93     0.012281440
      6336.31     0.012267116
      6336.70     0.012763831
      6337.08     0.014267730
      6337.47     0.012029208
      6337.85     0.010955756
      6338.24     0.011043515
      6338.62     0.013428242
      6339.01     0.012961040
      6339.39     0.014372772
      6339.78     0.011619854
      6340.16     0.011099038
      6340.55     0.013912310
      6340.93     0.013372272
      6341.32     0.012762043
      6341.70     0.012911655
      6342.09     0.013639682
      6342.47     0.012395737
      6342.86     0.013551904
      6343.24     0.011919819
      6343.63     0.013011510
      6344.01     0.014123095
      6344.40     0.012179611
      6344.78     0.011417110
      6345.17     0.012549232
      6345.55     0.013789916
      6345.94     0.013132991
      6346.32     0.013279091
      6346.71     0.014813109
      6347.09     0.013466718
      6347.48     0.013441066
      6347.86     0.015036440
      6348.25     0.013810995
      6348.63     0.015012830
      6349.02     0.015936255
      6349.40     0.012823959
      6349.79     0.014096883
      6350.17     0.013864885
      6350.56     0.016491295
      6350.94     0.014073646
      6351.33     0.014773248
      6351.71     0.026088275
      6352.09     0.015432687
      6352.48     0.016055833
      6352.86     0.016921188
      6353.25     0.014763253
      6353.63     0.015562574
      6354.02     0.016277559
      6354.40     0.016121060
      6354.79     0.015718137
      6355.17     0.016300227
      6355.56     0.016142542
      6355.94     0.017068998
      6356.33     0.017827955
      6356.71     0.017501807
      6357.10     0.016534567
      6357.48     0.017607795
      6357.87     0.017593513
      6358.25     0.018457080
      6358.64     0.018403018
      6359.02     0.020215943
      6359.41     0.019391215
      6359.79     0.019486945
      6360.18     0.020729527
      6360.56     0.022655951
      6360.95     0.022831396
      6361.33     0.021665590
      6361.72     0.023038321
      6362.10     0.024214088
      6362.49     0.024132156
      6362.87     0.026947017
      6363.26     0.027349255
      6363.64     0.028966250
      6364.03     0.031939627
