Angstroms	Transmission
      6508.37     0.013941923
      6508.75     0.012673934
      6509.13     0.015675223
      6509.52     0.016562786
      6509.90     0.014363915
      6510.28     0.013192729
      6510.67     0.013462715
      6511.05     0.011929825
      6511.43     0.021162872
      6511.82     0.012951334
      6512.20     0.024220406
      6512.58     0.012073926
      6512.96     0.014034325
      6513.35     0.014343286
      6513.73     0.013367475
      6514.11     0.013547914
      6514.50     0.013578378
      6514.88     0.014517247
      6515.26     0.012750926
      6515.65     0.013326987
      6516.03     0.013673143
      6516.41     0.014827303
      6516.79     0.013233329
      6517.18     0.013454842
      6517.56     0.013447486
      6517.94     0.012099214
      6518.33     0.012880916
      6518.71     0.014024760
      6519.09     0.013086292
      6519.48     0.013813112
      6519.86     0.014040562
      6520.24     0.014053541
      6520.62     0.014931170
      6521.01     0.014090539
      6521.39     0.013363318
      6521.77     0.013181209
      6522.16     0.013205023
      6522.54     0.014220263
      6522.92     0.014553195
      6523.30     0.014132744
      6523.69     0.015161987
      6524.07     0.013316206
      6524.45     0.014207367
      6524.84     0.014546553
      6525.22     0.014124783
      6525.60     0.015844918
      6525.99     0.015690877
      6526.37     0.015889509
      6526.75     0.016593397
      6527.13     0.015284314
      6527.52     0.015723542
      6527.90     0.015920398
      6528.28     0.016763880
      6528.67     0.017256218
      6529.05     0.019411612
      6529.43     0.015617585
      6529.82     0.016151321
      6530.20     0.016438711
      6530.58     0.018536081
      6530.96     0.016624316
      6531.35     0.017084430
      6531.73     0.018103262
      6532.11     0.017015197
      6532.50     0.019755856
      6532.88     0.017858695
      6533.26     0.025179701
      6533.65     0.020164947
      6534.03     0.024106796
      6534.41     0.022391923
      6534.79     0.018744871
      6535.18     0.020306547
      6535.56     0.020732550
      6535.94     0.022229866
      6536.33     0.020362284
      6536.71     0.020947138
      6537.09     0.021815349
      6537.48     0.022596921
      6537.86     0.022338857
      6538.24     0.022297415
      6538.62     0.021657373
      6539.01     0.023256814
      6539.39     0.022489270
      6539.77     0.023167522
      6540.16     0.023194654
      6540.54     0.021526167
      6540.92     0.024326785
      6541.30     0.024861400
      6541.69     0.024456405
      6542.07     0.024774775
      6542.45     0.022538960
      6542.84     0.023490509
      6543.22     0.025903614
      6543.60     0.025599175
      6543.99     0.024302891
      6544.37     0.025236728
      6544.75     0.026846505
      6545.13     0.026237560
      6545.52     0.026196734
      6545.90     0.026697670
      6546.28     0.026972295
      6546.67     0.028537150
      6547.05     0.028211955
      6547.43     0.027780174
      6547.82     0.028966113
      6548.20     0.030094178
      6548.58     0.033781751
      6548.96     0.030725536
      6549.35     0.031090768
      6549.73     0.031472607
      6550.11     0.036208824
      6550.50     0.037349241
      6550.88     0.039996537
      6551.26     0.039941148
      6551.65     0.041252635
      6552.03     0.048560062
      6552.41     0.049861256
      6552.79     0.054076216
      6553.18     0.059742288
      6553.56     0.065480550
      6553.94     0.070594847
      6554.33     0.081231887
      6554.71     0.090408225
      6555.09      0.10609618
      6555.47      0.12079104
      6555.86      0.13465398
      6556.24      0.15577215
      6556.62      0.18361028
      6557.01      0.21250704
      6557.39      0.24649676
      6557.77      0.28349506
      6558.16      0.32563823
      6558.54      0.36448923
      6558.92      0.41199564
      6559.30      0.45431218
      6559.69      0.48966889
      6560.07      0.53360285
      6560.45      0.55885788
      6560.84      0.58016293
      6561.22      0.60847347
      6561.60      0.62398233
      6561.99      0.63407555
      6562.37      0.63814486
