Angstroms	Transmission
      6508.37     0.016117574
      6508.75     0.014756714
      6509.13     0.018449210
      6509.52     0.018698514
      6509.90     0.016816291
      6510.28     0.015354748
      6510.67     0.016609844
      6511.05     0.015657895
      6511.43     0.023813662
      6511.82     0.016309088
      6512.20     0.026772198
      6512.58     0.015299451
      6512.96     0.016988920
      6513.35     0.017376609
      6513.73     0.016448939
      6514.11     0.016654442
      6514.50     0.016432432
      6514.88     0.018070723
      6515.26     0.016800207
      6515.65     0.016572195
      6516.03     0.016918351
      6516.41     0.018761077
      6516.79     0.016724859
      6517.18     0.017968448
      6517.56     0.017468759
      6517.94     0.017500648
      6518.33     0.016987249
      6518.71     0.019522119
      6519.09     0.017880280
      6519.48     0.019052568
      6519.86     0.019154099
      6520.24     0.018278226
      6520.62     0.020195918
      6521.01     0.019101460
      6521.39     0.018379968
      6521.77     0.019101949
      6522.16     0.019203383
      6522.54     0.020963001
      6522.92     0.020504800
      6523.30     0.020158668
      6523.69     0.022246220
      6524.07     0.019267823
      6524.45     0.021375826
      6524.84     0.022014072
      6525.22     0.021967071
      6525.60     0.022925481
      6525.99     0.022645282
      6526.37     0.024332164
      6526.75     0.024782346
      6527.13     0.022840119
      6527.52     0.025658747
      6527.90     0.025091932
      6528.28     0.026096349
      6528.67     0.026422239
      6529.05     0.029807609
      6529.43     0.025885500
      6529.82     0.026861289
      6530.20     0.028088191
      6530.58     0.030519872
      6530.96     0.028726474
      6531.35     0.030458605
      6531.73     0.031497084
      6532.11     0.031519245
      6532.50     0.034119829
      6532.88     0.031241853
      6533.26     0.040976198
      6533.65     0.036400535
      6534.03     0.041430855
      6534.41     0.041116576
      6534.79     0.037662506
      6535.18     0.039184274
      6535.56     0.041033172
      6535.94     0.042911811
      6536.33     0.043621115
      6536.71     0.045249258
      6537.09     0.047223304
      6537.48     0.049204364
      6537.86     0.050316648
      6538.24     0.052099601
      6538.62     0.055288981
      6539.01     0.056959849
      6539.39     0.058669528
      6539.77     0.061995772
      6540.16     0.064884673
      6540.54     0.065480794
      6540.92     0.070942284
      6541.30     0.074107762
      6541.69     0.077674919
      6542.07     0.082813583
      6542.45     0.082599923
      6542.84     0.088980503
      6543.22     0.094018933
      6543.60     0.098015634
      6543.99      0.10394815
      6544.37      0.11058743
      6544.75      0.11785745
      6545.13      0.12515618
      6545.52      0.13141454
      6545.90      0.14296172
      6546.28      0.14890775
      6546.67      0.16033936
      6547.05      0.17193404
      6547.43      0.18285739
      6547.82      0.19477660
      6548.20      0.20672089
      6548.58      0.22615722
      6548.96      0.23616490
      6549.35      0.25572156
      6549.73      0.27103570
      6550.11      0.29130472
      6550.50      0.31465871
      6550.88      0.33533893
      6551.26      0.35739322
      6551.65      0.37738203
      6552.03      0.40927960
      6552.41      0.43084461
      6552.79      0.45591472
      6553.18      0.47941342
      6553.56      0.50570801
      6553.94      0.52905067
      6554.33      0.55906397
      6554.71      0.58518069
      6555.09      0.60913993
      6555.47      0.63004748
      6555.86      0.65372197
      6556.24      0.66190167
      6556.62      0.68376292
      6557.01      0.69343034
      6557.39      0.70717288
      6557.77      0.71968148
      6558.16      0.72764565
      6558.54      0.73227936
      6558.92      0.73849509
      6559.30      0.74361762
      6559.69      0.74405637
      6560.07      0.75082594
      6560.45      0.74064460
      6560.84      0.74633850
      6561.22      0.74950863
      6561.60      0.74168543
