Angstroms	Transmission
      6523.36     0.011172426
      6523.75     0.010771760
      6524.13     0.011069952
      6524.52     0.010649493
      6524.90     0.010338385
      6525.29     0.010305851
      6525.67     0.010246664
      6526.06     0.010798773
      6526.44     0.010895486
      6526.83     0.010951945
      6527.22     0.010452671
      6527.60     0.010581793
      6527.99     0.010576132
      6528.37     0.010943682
      6528.76     0.010606248
      6529.14     0.010634790
      6529.53     0.010625154
      6529.91     0.010573834
      6530.30     0.010385204
      6530.69     0.010276616
      6531.07     0.010480964
      6531.46     0.011560209
      6531.84     0.011278508
      6532.23     0.010815240
      6532.61     0.010586985
      6533.00     0.011235044
      6533.38     0.011165952
      6533.77     0.011031798
      6534.16     0.010935601
      6534.54     0.010725397
      6534.93     0.011417142
      6535.31     0.011227668
      6535.70     0.010984896
      6536.08     0.011437116
      6536.47     0.011263927
      6536.85     0.011408404
      6537.24     0.011514176
      6537.63     0.011868114
      6538.01     0.011046991
      6538.40     0.011547062
      6538.78     0.011842377
      6539.17     0.012303314
      6539.55     0.011585391
      6539.94     0.012183275
      6540.33     0.012133634
      6540.71     0.012423124
      6541.10     0.011546289
      6541.48     0.011864058
      6541.87     0.012323651
      6542.25     0.012207653
      6542.64     0.012325390
      6543.02     0.012469438
      6543.41     0.012446226
      6543.80     0.012473417
      6544.18     0.012627390
      6544.57     0.013549240
      6544.95     0.013144383
      6545.34     0.012901913
      6545.72     0.013637297
      6546.11     0.013631185
      6546.49     0.013884871
      6546.88     0.014760616
      6547.27     0.014980488
      6547.65     0.014614128
      6548.04     0.014032619
      6548.42     0.013830748
      6548.81     0.015344202
      6549.19     0.014851891
      6549.58     0.014919791
      6549.96     0.015054557
      6550.35     0.015627557
      6550.74     0.015061728
      6551.12     0.015843697
      6551.51     0.015325670
      6551.89     0.016159105
      6552.28     0.016071280
      6552.66     0.016450793
      6553.05     0.017104643
      6553.44     0.017557029
      6553.82     0.017429467
      6554.21     0.018137693
      6554.59     0.017403555
      6554.98     0.017573814
      6555.36     0.017796432
      6555.75     0.018810500
      6556.13     0.018001189
      6556.52     0.018701277
      6556.91     0.018433755
      6557.29     0.019087484
      6557.68     0.019757031
      6558.06     0.019447116
      6558.45     0.020259873
      6558.83     0.020450242
      6559.22     0.020628478
      6559.60     0.021430982
      6559.99     0.021613162
      6560.38     0.022711836
      6560.76     0.022412931
      6561.15     0.023444430
      6561.53     0.025008594
      6561.92     0.025291829
      6562.30     0.026738197
      6562.69     0.027887068
      6563.07     0.028653416
      6563.46     0.031146144
      6563.85     0.033023116
      6564.23     0.035286978
      6564.62     0.037400674
      6565.00     0.041164831
      6565.39     0.043972835
      6565.77     0.049989263
      6566.16     0.058237056
      6566.55     0.064956470
      6566.93     0.074962140
      6567.32     0.089378455
      6567.70      0.10757653
      6568.09      0.12879239
      6568.47      0.16126657
      6568.86      0.19134643
      6569.24      0.24429380
      6569.63      0.30427674
      6570.02      0.36730128
      6570.40      0.45803911
      6570.79      0.53155049
      6571.17      0.65775681
      6571.56      0.72197937
      6571.94      0.80240645
      6572.33      0.86042820
      6572.71      0.86284765
      6573.10      0.92079295
      6573.49      0.88596079
      6573.87      0.87138512
      6574.26      0.87170740
      6574.64      0.83124577
      6575.03      0.84660806
      6575.41      0.78925041
      6575.80      0.80796502
      6576.19      0.82456969
      6576.57      0.82089616
      6576.96      0.82439087
      6577.34      0.83986489
      6577.73      0.86339372
      6578.11      0.85358015
      6578.50      0.88141948
      6578.88      0.87876833
      6579.27      0.88708503
      6579.66      0.89541221
      6580.04      0.90458244
      6580.43      0.88889356
