Angstroms	Transmission
      4805.00     0.050069757
      4805.39     0.048579567
      4805.79     0.052115544
      4806.18     0.062841735
      4806.58     0.050796287
      4806.97     0.048374906
      4807.37     0.050352165
      4807.76     0.046958218
      4808.16     0.086379696
      4808.55     0.048139881
      4808.94      0.10980585
      4809.34     0.047237077
      4809.73     0.048916636
      4810.13     0.050944095
      4810.52     0.049210702
      4810.92     0.049623949
      4811.31     0.048909451
      4811.71     0.050688868
      4812.10     0.048803481
      4812.50     0.047726610
      4812.89     0.049094480
      4813.29     0.050188570
      4813.68     0.048109213
      4814.08     0.054150833
      4814.47     0.048881766
      4814.87     0.046597313
      4815.26     0.048390613
      4815.66     0.052415876
      4816.05     0.046647021
      4816.45     0.049963951
      4816.84     0.049397851
      4817.24     0.048815609
      4817.63     0.051564186
      4818.03     0.048140675
      4818.42     0.047219232
      4818.82     0.046506628
      4819.21     0.047154238
      4819.61     0.049376523
      4820.00     0.050282526
      4820.40     0.048794326
      4820.79     0.050745843
      4821.19     0.047357926
      4821.58     0.050461976
      4821.97     0.049536480
      4822.37     0.046994224
      4822.76     0.051812742
      4823.16     0.048645582
      4823.55     0.050116468
      4823.95     0.050766081
      4824.34     0.048925339
      4824.74     0.050672328
      4825.13     0.050060615
      4825.53     0.052258385
      4825.92     0.050875964
      4826.32     0.064540834
      4826.71     0.049339522
      4827.11     0.049602477
      4827.50     0.051653765
      4827.90     0.054016036
      4828.29     0.050653365
      4828.69     0.051088777
      4829.08     0.052752294
      4829.48     0.051139951
      4829.87     0.058340866
      4830.27     0.050667412
      4830.66     0.084404658
      4831.06     0.054945813
      4831.45     0.074694708
      4831.85     0.058754325
      4832.24     0.052097805
      4832.64     0.055102323
      4833.03     0.054958851
      4833.43     0.057365195
      4833.82     0.054681596
      4834.21     0.054341080
      4834.61     0.055701633
      4835.00     0.058851740
      4835.40     0.057229122
      4835.79     0.056346749
      4836.19     0.055037697
      4836.58     0.056354344
      4836.98     0.057205570
      4837.37     0.056046796
      4837.77     0.057549040
      4838.16     0.058011616
      4838.56     0.059644842
      4838.95     0.060877289
      4839.35     0.062953667
      4839.74     0.060952510
      4840.14     0.058023264
      4840.53     0.060366560
      4840.93     0.063058792
      4841.32     0.063881566
      4841.72     0.065254410
      4842.11     0.065870284
      4842.51     0.068178759
      4842.90     0.067133998
      4843.30     0.067930168
      4843.69     0.074743299
      4844.09     0.071064264
      4844.48     0.072650715
      4844.88     0.075205953
      4845.27     0.074135749
      4845.67     0.076728049
      4846.06     0.078114568
      4846.46     0.092975616
      4846.85     0.079920477
      4847.24     0.085200000
      4847.64     0.085354478
      4848.03      0.10436433
      4848.43     0.094822456
      4848.82     0.098738668
      4849.22     0.099089590
      4849.61      0.10300054
      4850.01      0.12019915
      4850.40      0.11512726
      4850.80      0.12026770
      4851.19      0.12490165
      4851.59      0.13082227
      4851.98      0.13530296
