Angstroms	Transmission
      6244.94     0.012221397
      6245.33     0.011301708
      6245.71     0.013472182
      6246.10     0.013751176
      6246.49     0.012909058
      6246.88     0.011531885
      6247.26     0.012558528
      6247.65     0.010764340
      6248.04     0.019305436
      6248.43     0.012281207
      6248.81     0.021201413
      6249.20     0.011235146
      6249.59     0.012506289
      6249.98     0.013127219
      6250.37     0.012372687
      6250.75     0.012859304
      6251.14     0.012425252
      6251.53     0.013047663
      6251.92     0.012350922
      6252.30     0.011964602
      6252.69     0.012631802
      6253.08     0.013061022
      6253.47     0.011618873
      6253.85     0.012718940
      6254.24     0.012215849
      6254.63     0.011659129
      6255.02     0.012322576
      6255.40     0.013061339
      6255.79     0.012289757
      6256.18     0.013133208
      6256.57     0.013421397
      6256.95     0.013574017
      6257.34     0.014710073
      6257.73     0.013180617
      6258.12     0.012462489
      6258.50     0.012537524
      6258.89     0.013016954
      6259.28     0.014849041
      6259.67     0.014191174
      6260.05     0.014009764
      6260.44     0.015934707
      6260.83     0.013121619
      6261.22     0.014455307
      6261.60     0.014238353
      6261.99     0.014068282
      6262.38     0.014838349
      6262.77     0.015107023
      6263.15     0.015269861
      6263.54     0.015186055
      6263.93     0.014971331
      6264.32     0.015851064
      6264.71     0.015648129
      6265.09     0.016420361
      6265.48     0.016968722
      6265.87     0.019191348
      6266.26     0.016113508
      6266.64     0.016581633
      6267.03     0.016680833
      6267.42     0.019045936
      6267.81     0.017217097
      6268.19     0.017556874
      6268.58     0.018505587
      6268.97     0.017850868
      6269.36     0.020816399
      6269.74     0.018409504
      6270.13     0.024841456
      6270.52     0.020647731
      6270.91     0.023339632
      6271.29     0.022839875
      6271.68     0.020062542
      6272.07     0.022029088
      6272.46     0.021556759
      6272.84     0.023396941
      6273.23     0.022438819
      6273.62     0.024139991
      6274.01     0.023809524
      6274.39     0.025478604
      6274.78     0.025307557
      6275.17     0.025042607
      6275.56     0.025418712
      6275.94     0.027549082
      6276.33     0.028457139
      6276.72     0.028928244
      6277.11     0.029163577
      6277.49     0.029524851
      6277.88     0.031395842
      6278.27     0.032421479
      6278.66     0.032930998
      6279.04     0.034726104
      6279.43     0.034270217
      6279.82     0.036282060
      6280.21     0.037231070
      6280.60     0.039368165
      6280.98     0.040821332
      6281.37     0.043141091
      6281.76     0.045239273
      6282.15     0.047947860
      6282.53     0.048862326
      6282.92     0.051037242
      6283.31     0.053233411
      6283.70     0.057065694
      6284.08     0.060553937
      6284.47     0.062314021
