Angstroms	Transmission
      4948.51     0.043658284
      4948.91     0.040805353
      4949.30     0.044399835
      4949.70     0.052106880
      4950.09     0.043287254
      4950.49     0.041274694
      4950.89     0.041917920
      4951.28     0.039170778
      4951.68     0.074350282
      4952.08     0.042107726
      4952.47     0.090505028
      4952.87     0.039198606
      4953.26     0.043236028
      4953.66     0.042890308
      4954.06     0.041922054
      4954.45     0.042071383
      4954.85     0.042409944
      4955.25     0.042919191
      4955.64     0.041886015
      4956.04     0.041208000
      4956.44     0.040978453
      4956.83     0.043733942
      4957.23     0.040836086
      4957.62     0.045217293
      4958.02     0.041011969
      4958.42     0.039155774
      4958.81     0.041350596
      4959.21     0.044733126
      4959.61     0.041009998
      4960.00     0.041933111
      4960.40     0.042241574
      4960.79     0.042442714
      4961.19     0.044023736
      4961.59     0.043302443
      4961.98     0.040764547
      4962.38     0.042202459
      4962.78     0.042371925
      4963.17     0.043086455
      4963.57     0.042812765
      4963.96     0.042536387
      4964.36     0.044071588
      4964.76     0.040008928
      4965.15     0.045032446
      4965.55     0.043902439
      4965.95     0.042477085
      4966.34     0.045102734
      4966.74     0.043878747
      4967.14     0.044345898
      4967.53     0.044917521
      4967.93     0.043645915
      4968.32     0.044675643
      4968.72     0.044770316
      4969.12     0.045338229
      4969.51     0.045590186
      4969.91     0.055598371
      4970.31     0.044035582
      4970.70     0.045280293
      4971.10     0.045392248
      4971.49     0.047097302
      4971.89     0.045871560
      4972.29     0.046008930
      4972.68     0.046407268
      4973.08     0.046410046
      4973.48     0.051991271
      4973.87     0.046806409
      4974.27     0.074586370
      4974.67     0.050084015
      4975.06     0.066200416
      4975.46     0.053927126
      4975.85     0.047318955
      4976.25     0.050461937
      4976.65     0.050211016
      4977.04     0.052125316
      4977.44     0.050536237
      4977.84     0.050529484
      4978.23     0.051720407
      4978.63     0.053773838
      4979.02     0.051403865
      4979.42     0.052634389
      4979.82     0.052899561
      4980.21     0.054166003
      4980.61     0.054335631
      4981.01     0.054940983
      4981.40     0.055038103
      4981.80     0.054207291
      4982.19     0.056711980
      4982.59     0.058061777
      4982.99     0.059783761
      4983.38     0.058407640
      4983.78     0.056664048
      4984.18     0.058505331
      4984.57     0.061238400
      4984.97     0.063843236
      4985.37     0.064992382
      4985.76     0.066831034
      4986.16     0.070195507
      4986.55     0.068947424
      4986.95     0.070030950
      4987.35     0.074162308
      4987.74     0.072536425
      4988.14     0.076457071
      4988.54     0.078754961
      4988.93     0.079795823
      4989.33     0.082910764
      4989.73     0.085539926
      4990.12     0.095653961
      4990.52     0.089188488
      4990.91     0.092751811
      4991.31     0.094972931
      4991.71      0.11098678
      4992.10      0.10488935
      4992.50      0.11287149
      4992.90      0.11142578
      4993.29      0.11749720
      4993.69      0.13554309
      4994.08      0.13175190
      4994.48      0.13692648
      4994.88      0.14400821
      4995.27      0.15587739
      4995.67      0.15927928
      4996.07      0.17016721
      4996.46      0.18118271
      4996.86      0.19253769
      4997.25      0.20648604
      4997.65      0.21629902
      4998.05      0.22905852
      4998.44      0.24530804
      4998.84      0.26686664
      4999.24      0.28106010
      4999.63      0.29895807
      5000.03      0.31896858
      5000.43      0.33564136
