Angstroms	Transmission
      6658.65     0.015465844
      6659.04     0.014617169
      6659.42     0.017833218
      6659.81     0.018289916
      6660.19     0.016410727
      6660.57     0.014786064
      6660.96     0.016391937
      6661.34     0.013842263
      6661.73     0.024609926
      6662.11     0.015568145
      6662.49     0.025978712
      6662.88     0.014531952
      6663.26     0.015745165
      6663.65     0.017156190
      6664.03     0.015332818
      6664.41     0.016325414
      6664.80     0.015943675
      6665.18     0.016735641
      6665.56     0.015988372
      6665.95     0.015833295
      6666.33     0.016394923
      6666.72     0.017512105
      6667.10     0.015863058
      6667.48     0.016775648
      6667.87     0.016371201
      6668.25     0.015491235
      6668.64     0.016775185
      6669.02     0.017726327
      6669.40     0.016014074
      6669.79     0.017887062
      6670.17     0.018394649
      6670.56     0.018246853
      6670.94     0.018450350
      6671.32     0.018071745
      6671.71     0.017611547
      6672.09     0.016769598
      6672.48     0.018018018
      6672.86     0.018678096
      6673.24     0.018854308
      6673.63     0.019010546
      6674.01     0.020538052
      6674.40     0.018500927
      6674.78     0.019603445
      6675.16     0.020650165
      6675.55     0.019382466
      6675.93     0.021216088
      6676.32     0.020780037
      6676.70     0.021809661
      6677.08     0.022909042
      6677.47     0.021588595
      6677.85     0.022651536
      6678.23     0.021375756
      6678.62     0.023564330
      6679.00     0.023995335
      6679.39     0.025912997
      6679.77     0.022130818
      6680.15     0.022586160
      6680.54     0.024170404
      6680.92     0.025893296
      6681.31     0.024045135
      6681.69     0.024754032
      6682.07     0.026891134
      6682.46     0.026366617
      6682.84     0.028252888
      6683.23     0.026143498
      6683.61     0.034237183
      6683.99     0.028614726
      6684.38     0.032739292
      6684.76     0.030672662
      6685.15     0.027942686
      6685.53     0.029290577
      6685.91     0.030611334
      6686.30     0.032236460
      6686.68     0.030342185
      6687.07     0.031511483
      6687.45     0.033303611
      6687.83     0.032324315
      6688.22     0.033500912
      6688.60     0.032298247
      6688.99     0.034041987
      6689.37     0.033721751
      6689.75     0.035561688
      6690.14     0.034453893
      6690.52     0.034519573
      6690.91     0.033606739
      6691.29     0.037127395
      6691.67     0.037337951
      6692.06     0.038183102
      6692.44     0.036906389
      6692.82     0.036610140
      6693.21     0.036851363
      6693.59     0.039735974
      6693.98     0.039644866
      6694.36     0.040886159
      6694.74     0.041928537
      6695.13     0.042863436
      6695.51     0.043061359
      6695.90     0.042478188
      6696.28     0.044191807
      6696.66     0.045720572
      6697.05     0.047269511
      6697.43     0.048687815
      6697.82     0.049318222
      6698.20     0.052169695
      6698.58     0.052513128
      6698.97     0.055411408
      6699.35     0.055742198
      6699.74     0.054904896
      6700.12     0.057435264
      6700.50     0.063137445
      6700.89     0.065576653
      6701.27     0.068606702
      6701.66     0.068218757
      6702.04     0.071161862
      6702.42     0.078087860
      6702.81     0.080157571
      6703.19     0.082945633
      6703.58     0.086482430
      6703.96     0.092735907
      6704.34     0.096222065
      6704.73      0.10399894
      6705.11      0.10643094
      6705.50      0.11304849
      6705.88      0.11828195
      6706.26      0.12501661
      6706.65      0.13253119
      6707.03      0.14270534
      6707.41      0.14992915
      6707.80      0.15960144
      6708.18      0.17027206
      6708.57      0.18364903
      6708.95      0.19449867
      6709.33      0.20918615
      6709.72      0.22415330
      6710.10      0.23713032
      6710.49      0.25282803
      6710.87      0.27479668
      6711.25      0.28712435
      6711.64      0.30695741
      6712.02      0.33593646
      6712.41      0.35341295
      6712.79      0.37538784
      6713.17      0.40401007
      6713.56      0.42713502
      6713.94      0.44678131
      6714.33      0.47553842
      6714.71      0.50004403
      6715.09      0.52275746
      6715.48      0.54970812
      6715.86      0.58096382
      6716.25      0.59645861
      6716.63      0.61927435
      6717.01      0.64092087
      6717.40      0.65958853
      6717.78      0.67176744
      6718.17      0.68891543
      6718.55      0.70053452
      6718.93      0.70735999
      6719.32      0.71381032
      6719.70      0.71913498
      6720.08      0.72564489
      6720.47      0.72150561
      6720.85      0.72356322
      6721.24      0.72230070
      6721.62      0.71058344
      6722.00      0.70779365
      6722.39      0.69968164
      6722.77      0.68802907
      6723.16      0.67609769
      6723.54      0.66432790
      6723.92      0.65030620
      6724.31      0.63954369
      6724.69      0.62825445
      6725.08      0.60773407
      6725.46      0.59277548
      6725.84      0.57537250
      6726.23      0.55595313
      6726.61      0.54034916
      6727.00      0.51734399
      6727.38      0.50251700
      6727.76      0.48184084
      6728.15      0.46307768
      6728.53      0.45161576
      6728.92      0.42570550
      6729.30      0.40644644
      6729.68      0.38857347
      6730.07      0.37090392
      6730.45      0.34643461
      6730.83      0.33124609
      6731.22      0.31668751
      6731.60      0.29969201
      6731.99      0.28461126
      6732.37      0.26609538
      6732.75      0.25347890
      6733.14      0.24268309
      6733.52      0.22607914
      6733.91      0.21151529
      6734.29      0.20057694
      6734.67      0.18976280
      6735.06      0.17831759
      6735.44      0.16871083
      6735.83      0.15757850
      6736.21      0.15002713
      6736.59      0.14729605
      6736.98      0.13429322
      6737.36      0.12634287
      6737.75      0.11820855
      6738.13      0.11220088
      6738.51      0.10699402
      6738.90      0.10245697
      6739.28     0.095666320
      6739.67     0.089263901
      6740.05     0.084837790
      6740.43     0.081395876
      6740.82     0.079178219
      6741.20     0.072868571
      6741.59     0.068501278
      6741.97     0.067301558
      6742.35     0.062960421
      6742.74     0.060467456
      6743.12     0.058710298
      6743.50     0.056785371
      6743.89     0.053628773
      6744.27     0.051823680
      6744.66     0.051196869
      6745.04     0.049573196
      6745.42     0.045567867
      6745.81     0.043992606
      6746.19     0.042195651
