FORPRINT: Tue Mar  5 14:38:51 2013
      6688.50     0.032669672
      6688.89     0.032008475
      6689.28     0.031457886
      6689.66     0.030946498
      6690.05     0.030661723
      6690.43     0.030398253
      6690.82     0.030197097
      6691.21     0.030223809
      6691.59     0.030260485
      6691.98     0.030392283
      6692.36     0.030461668
      6692.75     0.030364880
      6693.13     0.030492223
      6693.52     0.030470699
      6693.91     0.030595714
      6694.29     0.030586772
      6694.68     0.030637681
      6695.06     0.030558442
      6695.45     0.030638220
      6695.84     0.030649772
      6696.22     0.030652090
      6696.61     0.030567900
      6696.99     0.030720927
      6697.38     0.030660446
      6697.76     0.030725237
      6698.15     0.030740443
      6698.54     0.030813803
      6698.92     0.030713644
      6699.31     0.030754979
      6699.69     0.030751638
      6700.08     0.030770539
      6700.47     0.030779488
      6700.85     0.030941674
      6701.24     0.031058147
      6701.62     0.031041585
      6702.01     0.031026499
      6702.40     0.031087152
      6702.78     0.031200673
      6703.17     0.031304527
      6703.55     0.031368181
      6703.94     0.031510178
      6704.32     0.031532753
      6704.71     0.031628729
      6705.10     0.031771327
      6705.48     0.031998684
      6705.87     0.032170151
      6706.25     0.032339826
      6706.64     0.032483630
      6707.02     0.032786480
      6707.41     0.033150510
      6707.80     0.033501120
      6708.18     0.033914167
      6708.57     0.034438633
      6708.95     0.034997691
      6709.34     0.035808915
      6709.73     0.036667548
      6710.11     0.037706913
      6710.50     0.039084972
      6710.88     0.040638741
      6711.27     0.042533398
      6711.66     0.045051277
      6712.04     0.048063008
      6712.43     0.051890506
      6712.81     0.056878980
      6713.20     0.062991023
      6713.58     0.071028578
      6713.97     0.081116116
      6714.36     0.093968543
      6714.74      0.11040889
      6715.13      0.13171248
      6715.51      0.15836312
      6715.90      0.19188035
      6716.29      0.23191323
      6716.67      0.28092333
      6717.06      0.33647063
      6717.44      0.39866963
      6717.83      0.46298555
      6718.21      0.52774493
      6718.60      0.58988783
      6718.99      0.64344604
      6719.37      0.68978676
      6719.76      0.72504890
      6720.14      0.75174427
      6720.53      0.77011025
      6720.92      0.78364078
      6721.30      0.79174177
      6721.69      0.79426272
      6722.07      0.79696165
      6722.46      0.79906547
      6722.85      0.79765894
      6723.23      0.79684154
      6723.62      0.79856231
      6724.00      0.79766147
      6724.39      0.79919960
      6724.77      0.79810875
      6725.16      0.79843760
      6725.55      0.79689530
      6725.93      0.79739638
      6726.32      0.79931131
      6726.70      0.79811677
      6727.09      0.79700699
      6727.48      0.79806236
      6727.86      0.79854747
      6728.25      0.79707525
      6728.63      0.79649582
      6729.02      0.79692668
      6729.40      0.79555328
      6729.79      0.79446215
      6730.18      0.79426625
      6730.56      0.78940605
      6730.95      0.78580754
      6731.33      0.78082278
      6731.72      0.77066468
      6732.11      0.75380452
      6732.49      0.73309674
      6732.88      0.70145388
      6733.26      0.66405188
      6733.65      0.61899336
      6734.03      0.56582690
      6734.42      0.50743148
      6734.81      0.44630818
      6735.19      0.38698064
      6735.58      0.33168410
      6735.96      0.28101420
      6736.35      0.23725813
      6736.74      0.20070680
      6737.12      0.17104252
      6737.51      0.14685802
      6737.89      0.12764134
      6738.28      0.11246499
      6738.67      0.10047879
      6739.05     0.091205559
      6739.44     0.083973653
      6739.82     0.077873853
      6740.21     0.073132076
      6740.59     0.069220218
      6740.98     0.066314837
      6741.37     0.063791409
      6741.75     0.061810436
      6742.14     0.060209005
      6742.52     0.058632435
      6742.91     0.057386864
      6743.30     0.056278941
      6743.68     0.055115527
      6744.07     0.054328313
      6744.45     0.053350026
      6744.84     0.052509234
      6745.22     0.051596709
      6745.61     0.051031334
      6746.00     0.049988537
      6746.38     0.049093811
      6746.77     0.048400545
      6747.15     0.047575688
      6747.54     0.046741657
      6747.93     0.046166611
      6748.31     0.045359816
      6748.70     0.044668695
      6749.08     0.043893396
      6749.47     0.043162561
      6749.85     0.042515396
      6750.24     0.041831697
      6750.63     0.041070239
      6751.01     0.040431628
      6751.40     0.039755920
      6751.78     0.039137459
      6752.17     0.038467924
      6752.56     0.037752385
      6752.94     0.037128350
      6753.33     0.036629765
      6753.71     0.036024194
      6754.10     0.035496762
      6754.48     0.035076821
      6754.87     0.034563020
      6755.26     0.034169404
      6755.64     0.033733428
      6756.03     0.033319065
      6756.41     0.033048799
      6756.80     0.032765566
      6757.19     0.032465483
      6757.57     0.032065380
      6757.96     0.031856431
      6758.34     0.031619527
      6758.73     0.031427714
      6759.12     0.031272157
      6759.50     0.031120619
      6759.89     0.030886185
      6760.27     0.030820215
      6760.66     0.030742989
      6761.04     0.030621001
      6761.43     0.030495707
      6761.82     0.030369474
      6762.20     0.030207237
      6762.59     0.030192341
      6762.97     0.030054667
      6763.36     0.029922998
      6763.75     0.029912575
      6764.13     0.029897677
      6764.52     0.029711327
      6764.90     0.029615528
      6765.29     0.029538343
      6765.67     0.029411568
      6766.06     0.029426739
      6766.45     0.029284422
      6766.83     0.029276355
      6767.22     0.029091540
      6767.60     0.029057124
      6767.99     0.029042489
      6768.38     0.028974508
      6768.76     0.028900365
      6769.15     0.028781263
      6769.53     0.028676209
      6769.92     0.028647377
      6770.31     0.028550414
      6770.69     0.028562621
      6771.08     0.028441980
      6771.46     0.028434458
      6771.85     0.028304026
      6772.23     0.028260108
      6772.62     0.028149101
      6773.01     0.028166716
      6773.39     0.028073279
      6773.78     0.028114293
      6774.16     0.027987781
      6774.55     0.027986357
      6774.94     0.027830989
      6775.32     0.027799159
      6775.71     0.027793264
      6776.09     0.027720670
      6776.48     0.027672924
      6776.86     0.027632002
      6777.25     0.027605312
      6777.64     0.027587691
      6778.02     0.027544602
      6778.41     0.027549598
      6778.79     0.027561848
      6779.18     0.027458512
      6779.57     0.027504507
      6779.95     0.027439557
      6780.34     0.027425131
      6780.72     0.027391851
      6781.11     0.027377491
      6781.49     0.027347546
      6781.88     0.027429526
      6782.27     0.027516073
      6782.65     0.027537523
      6783.04     0.027623864
      6783.42     0.027822403
      6783.81     0.027897412
      6784.20     0.028173129
      6784.58     0.028464936
      6784.97     0.028753699
      6785.35     0.029059753
      6785.74     0.029415683
      6786.12     0.029738714
      6786.51     0.030104478
      6786.90     0.030534162
      6787.28     0.031035668
      6787.67     0.031731934
