Angstroms	Transmission
      6111.70     0.013311922
      6112.08     0.011990209
      6112.47     0.014781385
      6112.86     0.015366963
      6113.25     0.013703689
      6113.64     0.012288345
      6114.03     0.012718471
      6114.42     0.011082032
      6114.81     0.019981431
      6115.20     0.012455516
      6115.59     0.022415040
      6115.98     0.011751357
      6116.37     0.013262170
      6116.76     0.013830814
      6117.15     0.012391024
      6117.54     0.012992221
      6117.93     0.013041043
      6118.32     0.014205114
      6118.71     0.012410425
      6119.10     0.012505993
      6119.49     0.012803127
      6119.88     0.013939927
      6120.27     0.012243428
      6120.66     0.013696999
      6121.05     0.012325130
      6121.44     0.011525209
      6121.83     0.012080165
      6122.21     0.013297451
      6122.60     0.012233874
      6122.99     0.013645767
      6123.38     0.013182599
      6123.77     0.012975779
      6124.16     0.014249525
      6124.55     0.012670719
      6124.94     0.012404580
      6125.33     0.012273339
      6125.72     0.012432197
      6126.11     0.013807332
      6126.50     0.013558384
      6126.89     0.013266998
      6127.28     0.014527559
      6127.67     0.012066187
      6128.06     0.013186381
      6128.45     0.013720296
      6128.84     0.012741374
      6129.23     0.014104483
      6129.62     0.014001269
      6130.01     0.014295813
      6130.40     0.014680993
      6130.79     0.013393565
      6131.18     0.014597096
      6131.57     0.013537906
      6131.96     0.014761886
      6132.34     0.015330327
      6132.73     0.016935801
      6133.12     0.013688875
      6133.51     0.014512186
      6133.90     0.014700680
      6134.29     0.016339095
      6134.68     0.015198047
      6135.07     0.014580132
      6135.46     0.015813697
      6135.85     0.015065322
      6136.24     0.017827692
      6136.63     0.015299902
      6137.02     0.022652582
      6137.41     0.017452349
      6137.80     0.020919027
      6138.19     0.019778326
      6138.58     0.016249657
      6138.97     0.017913717
      6139.36     0.018171091
      6139.75     0.020627873
      6140.14     0.019367992
      6140.53     0.020865320
      6140.92     0.021907877
      6141.31     0.022248381
      6141.70     0.023255814
      6142.08     0.023270342
      6142.47     0.024514014
      6142.86     0.026356831
      6143.25     0.027324986
      6143.64     0.029191090
      6144.03     0.030301847
      6144.42     0.031997490
      6144.81     0.035390658
      6145.20     0.038805039
      6145.59     0.043341611
      6145.98     0.046248396
      6146.37     0.049180328
      6146.76     0.054084573
      6147.15     0.062255592
      6147.54     0.070407644
      6147.93     0.077493656
      6148.32     0.089569737
      6148.71      0.10086997
      6149.10      0.11518018
      6149.49      0.13249766
      6149.88      0.15237091
      6150.27      0.17358151
      6150.66      0.20352987
      6151.05      0.23231542
      6151.44      0.26737947
      6151.83      0.29860868
      6152.21      0.33812338
      6152.60      0.38030233
      6152.99      0.42221791
      6153.38      0.45523026
      6153.77      0.49512519
      6154.16      0.53280473
      6154.55      0.55627781
      6154.94      0.58040123
      6155.33      0.60485660
      6155.72      0.61852574
      6156.11      0.63620550
      6156.50      0.63982724
      6156.89      0.65477672
      6157.28      0.65792333
      6157.67      0.66486445
      6158.06      0.67085670
      6158.45      0.67281429
      6158.84      0.67785756
      6159.23      0.67722205
      6159.62      0.68144601
      6160.01      0.68844396
      6160.40      0.68788517
      6160.79      0.68864156
      6161.18      0.68897729
      6161.57      0.69829030
      6161.96      0.68792764
      6162.34      0.68937845
      6162.73      0.68994843
      6163.12      0.68897198
      6163.51      0.69000501
      6163.90      0.68581757
      6164.29      0.68913872
      6164.68      0.68350880
      6165.07      0.68346572
      6165.46      0.67782395
      6165.85      0.68070243
