Angstroms	Transmission
      6497.76     0.014479014
      6498.15     0.013525045
      6498.54     0.016238846
      6498.92     0.016775984
      6499.31     0.015529790
      6499.69     0.014181988
      6500.08     0.014360979
      6500.47     0.013046425
      6500.85     0.022406848
      6501.24     0.014051126
      6501.62     0.024548073
      6502.01     0.013585475
      6502.40     0.014231459
      6502.78     0.015429525
      6503.17     0.014683185
      6503.55     0.015181849
      6503.94     0.014656285
      6504.33     0.016224374
      6504.71     0.015462843
      6505.10     0.015150254
      6505.48     0.015169146
      6505.87     0.016096076
      6506.26     0.014581256
      6506.64     0.015832779
      6507.03     0.015649779
      6507.41     0.014129121
      6507.80     0.015257629
      6508.19     0.016054287
      6508.57     0.015614590
      6508.96     0.015762187
      6509.34     0.016374318
      6509.73     0.016452164
      6510.12     0.017508920
      6510.50     0.016554773
      6510.89     0.016099433
      6511.27     0.016424879
      6511.66     0.015960328
      6512.05     0.018074804
      6512.43     0.017437516
      6512.82     0.017320872
      6513.20     0.019138955
      6513.59     0.016404336
      6513.98     0.018274702
      6514.36     0.018309683
      6514.75     0.017990126
      6515.13     0.019756270
      6515.52     0.019958246
      6515.91     0.019958246
      6516.29     0.021113244
      6516.68     0.019747301
      6517.06     0.021099505
      6517.45     0.020591913
      6517.84     0.022457398
      6518.22     0.021800515
      6518.61     0.024886784
      6518.99     0.021530901
      6519.38     0.022403344
      6519.77     0.022497094
      6520.15     0.025464213
      6520.54     0.023865755
      6520.92     0.024095884
      6521.31     0.025011483
      6521.70     0.025544860
      6522.08     0.027496563
      6522.47     0.026085142
      6522.85     0.033257024
      6523.24     0.028287430
      6523.63     0.032274227
      6524.01     0.031470564
      6524.40     0.028798328
      6524.79     0.029939128
      6525.17     0.030826346
      6525.56     0.032606894
      6525.94     0.031223945
      6526.33     0.032270122
      6526.72     0.033734940
      6527.10     0.035744043
      6527.49     0.035653297
      6527.87     0.035613011
      6528.26     0.036325053
      6528.65     0.037978850
      6529.03     0.038687133
      6529.42     0.039623658
      6529.80     0.039852061
      6530.19     0.041248281
      6530.58     0.042852388
      6530.96     0.045549519
      6531.35     0.046568729
      6531.73     0.047331403
      6532.12     0.047001285
      6532.51     0.048750207
      6532.89     0.052681833
      6533.28     0.053757201
      6533.66     0.055021257
      6534.05     0.058631383
      6534.44     0.060511541
      6534.82     0.063037606
      6535.21     0.065219203
      6535.59     0.069574290
      6535.98     0.070168918
      6536.37     0.075631642
      6536.75     0.079449328
      6537.14     0.081120332
      6537.52     0.085685901
      6537.91     0.089178274
      6538.30     0.095572063
      6538.68     0.099336650
      6539.07      0.10410252
      6539.45      0.10968524
      6539.84      0.11943152
      6540.23      0.12356095
      6540.61      0.13302886
      6541.00      0.13801986
      6541.38      0.14610470
      6541.77      0.15856693
      6542.16      0.16711219
      6542.54      0.17775571
      6542.93      0.18716086
      6543.31      0.19969284
      6543.70      0.21150102
      6544.09      0.22716442
      6544.47      0.23775294
      6544.86      0.25352640
      6545.25      0.27119852
      6545.63      0.28606071
      6546.02      0.30355870
      6546.40      0.32459168
      6546.79      0.34196978
      6547.18      0.35901963
      6547.56      0.37703895
      6547.95      0.39799933
      6548.33      0.41785371
      6548.72      0.43447293
      6549.11      0.46078308
      6549.49      0.47160607
      6549.88      0.49296950
      6550.26      0.51348764
      6550.65      0.52268170
      6551.04      0.54722620
      6551.42      0.55494163
      6551.81      0.57141074
      6552.19      0.58077243
      6552.58      0.59484231
      6552.97      0.61386139
      6553.35      0.61443463
      6553.74      0.62234842
      6554.12      0.62726817
      6554.51      0.63244465
      6554.90      0.64125147
      6555.28      0.63961933
      6555.67      0.64797651
      6556.05      0.64584815
      6556.44      0.65196221
      6556.83      0.64735611
      6557.21      0.64931919
      6557.60      0.65105082
      6557.98      0.64429080
      6558.37      0.63982644
      6558.76      0.63897937
      6559.14      0.63800523
      6559.53      0.63213548
      6559.91      0.62471636
      6560.30      0.61988817
      6560.69      0.60943594
      6561.07      0.60975507
      6561.46      0.59352792
      6561.84      0.58343784
      6562.23      0.57454361
      6562.62      0.55858830
      6563.00      0.54524293
      6563.39      0.53413706
      6563.77      0.51509131
      6564.16      0.49900798
      6564.55      0.48527910
      6564.93      0.46536668
      6565.32      0.44708524
      6565.70      0.42655764
      6566.09      0.40799119
      6566.48      0.39364063
      6566.86      0.37361937
      6567.25      0.35251216
      6567.63      0.33286666
      6568.02      0.32147507
      6568.41      0.29727660
      6568.79      0.28132438
      6569.18      0.26532883
      6569.56      0.25010641
      6569.95      0.23457476
      6570.34      0.22013059
      6570.72      0.20928938
      6571.11      0.19568364
      6571.50      0.18295857
      6571.88      0.17103289
      6572.27      0.16653082
      6572.65      0.15153995
      6573.04      0.14047151
      6573.43      0.13463276
      6573.81      0.12833254
      6574.20      0.11996211
      6574.58      0.11182081
      6574.97      0.10500710
      6575.36      0.10039951
      6575.74     0.097060358
      6576.13     0.094544525
      6576.51     0.084807941
      6576.90     0.080102573
      6577.29     0.076605185
      6577.67     0.071270742
      6578.06     0.069327183
      6578.44     0.066191800
      6578.83     0.062125554
      6579.22     0.060454169
      6579.60     0.056142035
      6579.99     0.054623694
      6580.37     0.053726246
      6580.76     0.049663598
      6581.15     0.047608600
      6581.53     0.045179402
      6581.92     0.044973662
      6582.30     0.041589730
      6582.69     0.040129192
      6583.08     0.040347473
      6583.46     0.037414966
      6583.85     0.037503325
      6584.23     0.037383588
      6584.62     0.034764195
      6585.01     0.033051977
      6585.39     0.032805781
      6585.78     0.031939605
      6586.16     0.030251651
      6586.55     0.031298557
      6586.94     0.028027055
      6587.32     0.030051721
      6587.71     0.029432656
      6588.09     0.026699354
      6588.48     0.028346387
      6588.87     0.025420711
      6589.25     0.024141174
      6589.64     0.024225629
      6590.02     0.024746051
      6590.41     0.035552797
      6590.80     0.024095845
      6591.18     0.022889457
      6591.57     0.022554360
      6591.96     0.021857923
      6592.34     0.021689137
