Angstroms	Transmission
      5807.81     0.022613065
      5808.21     0.020337576
      5808.60     0.025075363
      5808.99     0.025013448
      5809.38     0.023161041
      5809.78     0.021092740
      5810.17     0.022555880
      5810.56     0.018557542
      5810.95     0.034107694
      5811.35     0.019972918
      5811.74     0.036913424
      5812.13     0.019682110
      5812.53     0.023614101
      5812.92     0.023949692
      5813.31     0.021406523
      5813.70     0.021641841
      5814.10     0.022414366
      5814.49     0.023673740
      5814.88     0.020811170
      5815.27     0.021714438
      5815.67     0.022828323
      5816.06     0.024146600
      5816.45     0.021733438
      5816.85     0.022175429
      5817.24     0.022397455
      5817.63     0.020292154
      5818.02     0.021736267
      5818.42     0.024000526
      5818.81     0.021615547
      5819.20     0.022874521
      5819.59     0.023590828
      5819.99     0.022509516
      5820.38     0.026075023
      5820.77     0.023598820
      5821.17     0.021964333
      5821.56     0.022811671
      5821.95     0.022902270
      5822.34     0.025144433
      5822.74     0.025173439
      5823.13     0.024196200
      5823.52     0.025688073
      5823.91     0.023144819
      5824.31     0.024764151
      5824.70     0.024591764
      5825.09     0.023945418
      5825.49     0.026062654
      5825.88     0.026365471
      5826.27     0.026487901
      5826.66     0.027063775
      5827.06     0.024804688
      5827.45     0.026717060
      5827.84     0.025400117
      5828.23     0.026551545
      5828.63     0.027369783
      5829.02     0.030557181
      5829.41     0.025152340
      5829.81     0.025777202
      5830.20     0.026310698
      5830.59     0.029125588
      5830.98     0.026463820
      5831.38     0.025561380
      5831.77     0.027165125
      5832.16     0.026530877
      5832.55     0.030376983
      5832.95     0.025498677
      5833.34     0.038021599
      5833.73     0.029989725
      5834.13     0.034964589
      5834.52     0.032233454
      5834.91     0.027239359
      5835.30     0.027353281
      5835.70     0.028633517
      5836.09     0.030199213
      5836.48     0.028130206
      5836.87     0.028509193
      5837.27     0.028567768
      5837.66     0.028733075
      5838.05     0.028709350
      5838.45     0.028397566
      5838.84     0.028371501
      5839.23     0.028689567
      5839.62     0.029055383
      5840.02     0.029374283
      5840.41     0.028490388
      5840.80     0.027850029
      5841.19     0.029976699
      5841.59     0.030016500
      5841.98     0.031437031
      5842.37     0.029489437
      5842.77     0.027412835
      5843.16     0.028342886
      5843.55     0.031151469
      5843.94     0.030931063
      5844.34     0.029526704
      5844.73     0.029811486
      5845.12     0.031715129
      5845.51     0.031427679
      5845.91     0.030615433
      5846.30     0.032719965
      5846.69     0.031120852
      5847.09     0.034916463
      5847.48     0.034129478
      5847.87     0.032397273
      5848.26     0.032950480
      5848.66     0.035504805
      5849.05     0.038738963
      5849.44     0.033675692
      5849.83     0.034560481
      5850.23     0.035026270
      5850.62     0.041731742
      5851.01     0.039759110
      5851.41     0.042921921
      5851.80     0.039486796
      5852.19     0.039383244
      5852.58     0.046207282
      5852.98     0.045966287
      5853.37     0.046557948
      5853.76     0.046320346
      5854.15     0.050471815
      5854.55     0.049845009
      5854.94     0.054613700
      5855.33     0.054697234
      5855.73     0.057282636
      5856.12     0.061812076
      5856.51     0.060075951
      5856.90     0.060832245
      5857.30     0.066177385
      5857.69     0.071831772
      5858.08     0.071375511
      5858.47     0.076561824
      5858.87     0.081114705
      5859.26     0.083670964
      5859.65     0.088506454
      5860.05     0.094449555
      5860.44     0.097571526
