Angstroms	Transmission
      5135.98     0.029632858
      5136.52     0.025668680
      5137.07     0.026084224
      5137.62     0.026954178
      5138.16     0.025434937
      5138.71     0.026131875
      5139.26     0.025625565
      5139.80     0.024499552
      5140.35     0.023878509
      5140.90     0.025812906
      5141.44     0.024660543
      5141.99     0.024686442
      5142.54     0.025515309
      5143.08     0.024001574
      5143.63     0.024050885
      5144.18     0.025352668
      5144.72     0.025078989
      5145.27     0.025551800
      5145.82     0.026419949
      5146.36     0.025256975
      5146.91     0.026207303
      5147.46     0.024601456
      5148.00     0.024704724
      5148.55     0.025646065
      5149.10     0.024480640
      5149.64     0.026139994
      5150.19     0.023280629
      5150.73     0.025696141
      5151.28     0.024236549
      5151.83     0.024375918
      5152.37     0.023480530
      5152.92     0.023093139
      5153.47     0.024452021
      5154.01     0.024437175
      5154.56     0.023468308
      5155.11     0.023841569
      5155.65     0.025238416
      5156.20     0.023743418
      5156.75     0.025350233
      5157.29     0.023557463
      5157.84     0.024772836
      5158.39     0.022836652
      5158.93     0.023416108
      5159.48     0.025162648
      5160.03     0.024844134
      5160.57     0.023852343
      5161.12     0.023438238
      5161.67     0.025078073
      5162.21     0.024066936
      5162.76     0.024089583
      5163.31     0.024521871
      5163.85     0.024557772
      5164.40     0.025053955
      5164.95     0.024924755
      5165.49     0.022714630
      5166.04     0.024622790
      5166.59     0.023690542
      5167.13     0.023849295
      5167.68     0.024192059
      5168.23     0.024719721
      5168.77     0.023551058
      5169.32     0.025055679
      5169.87     0.024334040
      5170.41     0.024817788
      5170.96     0.023844461
      5171.50     0.023844732
      5172.05     0.026279645
      5172.60     0.024253043
      5173.15     0.025248802
      5173.69     0.025551790
      5174.24     0.025339699
      5174.78     0.026521779
      5175.33     0.026390543
      5175.88     0.025002290
      5176.42     0.024528647
      5176.97     0.026265564
      5177.52     0.026171303
      5178.06     0.026915683
      5178.61     0.027337739
      5179.16     0.025029580
      5179.70     0.028057750
      5180.25     0.025785877
      5180.80     0.026466576
      5181.34     0.027495463
      5181.89     0.027458088
      5182.44     0.028666727
      5182.98     0.028443248
      5183.53     0.026995305
      5184.08     0.026978578
      5184.62     0.028145996
      5185.17     0.028076194
      5185.72     0.030452225
      5186.26     0.029811996
      5186.81     0.029043384
      5187.36     0.029324724
      5187.90     0.029247660
      5188.45     0.031275496
      5189.00     0.030964422
      5189.54     0.031277611
      5190.09     0.032913669
      5190.64     0.032212137
      5191.18     0.032663989
      5191.73     0.034808419
      5192.28     0.036167341
      5192.82     0.037518804
      5193.37     0.038714917
      5193.92     0.040816327
      5194.46     0.044126842
      5195.01     0.045836312
      5195.55     0.052048236
      5196.10     0.055297481
      5196.65     0.061482661
      5197.19     0.069959213
      5197.74     0.077827894
      5198.29     0.092902430
      5198.83      0.10583363
      5199.38      0.12850838
      5199.93      0.15593579
      5200.47      0.18513094
      5201.02      0.22892729
      5201.57      0.27503724
      5202.11      0.32976222
      5202.66      0.39685163
      5203.21      0.45739754
      5203.75      0.52449140
      5204.30      0.59684349
      5204.85      0.64137991
      5205.39      0.67793378
      5205.94      0.71694842
      5206.49      0.72475076
      5207.03      0.74109078
      5207.58      0.73655029
      5208.13      0.74510992
      5208.67      0.74967642
      5209.22      0.75411398
      5209.77      0.75239245
      5210.31      0.74825836
      5210.86      0.75663678
      5211.41      0.75498526
      5211.95      0.75871012
      5212.50      0.75966517
      5213.05      0.76064432
      5213.59      0.75892935
      5214.14      0.75496803
      5214.69      0.74883601
      5215.23      0.74500000
      5215.78      0.73748925
      5216.33      0.74369894
      5216.87      0.72884715
      5217.42      0.72789406
      5217.96      0.72843561
      5218.51      0.72891515
      5219.06      0.73871162
      5219.60      0.72652122
      5220.15      0.73939083
      5220.70      0.73910076
      5221.24      0.72157792
      5221.79      0.70969928
      5222.34      0.68174119
      5222.88      0.64306140
      5223.43      0.59204316
      5223.98      0.53302961
      5224.52      0.46416787
      5225.07      0.39396985
