FORPRINT: Tue Mar  5 14:39:49 2013
      6561.54     0.028941232
      6561.92     0.028413311
      6562.31     0.027885163
      6562.69     0.027515452
      6563.08     0.027159153
      6563.47     0.026960394
      6563.85     0.026861204
      6564.24     0.026827570
      6564.63     0.026862672
      6565.01     0.027013530
      6565.40     0.027005283
      6565.78     0.026965410
      6566.17     0.027088673
      6566.56     0.027101926
      6566.94     0.027235746
      6567.33     0.027196449
      6567.71     0.027247483
      6568.10     0.027335692
      6568.49     0.027336712
      6568.87     0.027374407
      6569.26     0.027393278
      6569.65     0.027506676
      6570.03     0.027463983
      6570.42     0.027715981
      6570.80     0.027701931
      6571.19     0.027736054
      6571.58     0.027844311
      6571.96     0.027966490
      6572.35     0.028047827
      6572.73     0.028203897
      6573.12     0.028302323
      6573.51     0.028423733
      6573.89     0.028644722
      6574.28     0.028799255
      6574.67     0.029112636
      6575.05     0.029486413
      6575.44     0.029824676
      6575.82     0.030231479
      6576.21     0.030659652
      6576.60     0.031180575
      6576.98     0.031966449
      6577.37     0.032869551
      6577.75     0.033896155
      6578.14     0.035167961
      6578.53     0.036720835
      6578.91     0.038797656
      6579.30     0.041220003
      6579.69     0.044413257
      6580.07     0.048391431
      6580.46     0.053502737
      6580.84     0.060124721
      6581.23     0.068672818
      6581.62     0.079818289
      6582.00     0.093865446
      6582.39      0.11220402
      6582.77      0.13603826
      6583.16      0.16642141
      6583.55      0.20403411
      6583.93      0.25029010
      6584.32      0.30448975
      6584.71      0.36595749
      6585.09      0.43152764
      6585.48      0.49990110
      6585.86      0.56414846
      6586.25      0.62310104
      6586.64      0.67232364
      6587.02      0.71085004
      6587.41      0.73846998
      6587.79      0.75690842
      6588.18      0.77127031
      6588.57      0.77648334
      6588.95      0.77998045
      6589.34      0.78182499
      6589.73      0.78244135
      6590.11      0.78278387
      6590.50      0.78236286
      6590.88      0.78172970
      6591.27      0.78179365
      6591.66      0.78107580
      6592.04      0.77990818
      6592.43      0.78048273
      6592.81      0.78101897
      6593.20      0.78138815
      6593.59      0.78251195
      6593.97      0.78233031
      6594.36      0.78287286
      6594.75      0.78221158
      6595.13      0.78229090
      6595.52      0.78364360
      6595.90      0.78406152
      6596.29      0.78288496
      6596.68      0.78320832
      6597.06      0.78147648
      6597.45      0.78017328
      6597.83      0.77586102
      6598.22      0.77277964
      6598.61      0.76506400
      6598.99      0.75400320
      6599.38      0.73812616
      6599.77      0.71485573
      6600.15      0.68350371
      6600.54      0.64440634
      6600.92      0.59608008
      6601.31      0.54151125
      6601.70      0.48223852
      6602.08      0.42141114
      6602.47      0.36059539
      6602.85      0.30556296
      6603.24      0.25628932
      6603.63      0.21468827
      6604.01      0.17905949
      6604.40      0.15082695
      6604.79      0.12797791
      6605.17      0.10966667
      6605.56     0.095517488
      6605.94     0.084765893
      6606.33     0.075928184
      6606.72     0.069365372
      6607.10     0.064103961
      6607.49     0.059833303
      6607.87     0.056670752
      6608.26     0.054137032
      6608.65     0.052180091
      6609.03     0.050373749
      6609.42     0.049223311
      6609.81     0.048129572
      6610.19     0.047155154
      6610.58     0.046510981
      6610.96     0.045901714
      6611.35     0.045321714
      6611.74     0.044775548
      6612.12     0.044275010
      6612.51     0.044196439
      6612.89     0.043686550
      6613.28     0.043478387
      6613.67     0.043001885
      6614.05     0.042716098
      6614.44     0.042388941
      6614.83     0.042011864
      6615.21     0.041471994
      6615.60     0.041097669
      6615.98     0.040860578
      6616.37     0.040419396
      6616.76     0.039981747
      6617.14     0.039503864
      6617.53     0.039111508
      6617.91     0.038822373
      6618.30     0.038468510
      6618.69     0.038069513
      6619.07     0.037653582
      6619.46     0.037249046
      6619.85     0.036910057
      6620.23     0.036375615
      6620.62     0.036036510
      6621.00     0.035590954
      6621.39     0.035227051
      6621.78     0.034896367
      6622.16     0.034435939
      6622.55     0.033963987
      6622.93     0.033548888
      6623.32     0.033169240
      6623.71     0.032770073
      6624.09     0.032352052
      6624.48     0.032099002
      6624.87     0.031800913
      6625.25     0.031480827
      6625.64     0.031038342
      6626.02     0.030919623
      6626.41     0.030669080
      6626.80     0.030342372
      6627.18     0.030134127
      6627.57     0.029915755
      6627.95     0.029670690
      6628.34     0.029504307
      6628.73     0.029324095
      6629.11     0.029088847
      6629.50     0.028911309
      6629.89     0.028830879
      6630.27     0.028704241
      6630.66     0.028551261
      6631.04     0.028535914
      6631.43     0.028490425
      6631.82     0.028502573
      6632.20     0.028249404
      6632.59     0.028214564
      6632.97     0.028105799
      6633.36     0.028043522
      6633.75     0.027951901
      6634.13     0.027858355
      6634.52     0.027847709
      6634.91     0.027701114
      6635.29     0.027651739
      6635.68     0.027553383
      6636.06     0.027535192
      6636.45     0.027491311
      6636.84     0.027334849
      6637.22     0.027349430
      6637.61     0.027240132
      6637.99     0.027233323
      6638.38     0.027144775
      6638.77     0.027090389
      6639.15     0.026979352
      6639.54     0.026866206
      6639.93     0.026933040
      6640.31     0.026819606
      6640.70     0.026884430
      6641.08     0.026689624
      6641.47     0.026752091
      6641.86     0.026693892
      6642.24     0.026610787
      6642.63     0.026556743
      6643.01     0.026559718
      6643.40     0.026458784
      6643.79     0.026404478
      6644.17     0.026346892
      6644.56     0.026338608
      6644.95     0.026325327
      6645.33     0.026214529
      6645.72     0.026208934
      6646.10     0.026246620
      6646.49     0.026174080
      6646.88     0.026100454
      6647.26     0.026034609
      6647.65     0.026012359
      6648.03     0.025891012
      6648.42     0.025807656
      6648.81     0.025835699
      6649.19     0.025865017
      6649.58     0.025770481
      6649.97     0.025706334
      6650.35     0.025758993
      6650.74     0.025731406
      6651.12     0.025645073
      6651.51     0.025625508
      6651.90     0.025599142
      6652.28     0.025515802
      6652.67     0.025501856
      6653.05     0.025457796
      6653.44     0.025498605
      6653.83     0.025395497
      6654.21     0.025457891
      6654.60     0.025422907
      6654.99     0.025468554
      6655.37     0.025413596
      6655.76     0.025428677
      6656.14     0.025564930
      6656.53     0.025668012
      6656.92     0.025858721
      6657.30     0.026121255
      6657.69     0.026299185
      6658.07     0.026587094
      6658.46     0.026854683
      6658.85     0.027190989
      6659.23     0.027515819
      6659.62     0.027970333
      6660.01     0.028314568
      6660.39     0.028939500
      6660.78     0.029360082
